Level,Stance,Claim,Votes,Comments,Depth,Debate_name,Tot_votes,Mean_vote,Parent_claim,Parent_vote,Parent_stance,Pro,Con
1.1.1.1,pro,two thirds of all americans and even almost half of all republican voters believe america should either support or at least not block a un resolution that recognizes palestine as a state,"[1, 1, 4, 10, 1]", ,3,palestine,17,2.5,public opinion in the us supports this step more americans support an independent palestinian state than oppose it,0.0,pro,1,0
1.1.1.1.1,pro,the us historical pattern of vetoing nearly every un security council resolution unfavorable to israel demonstrates that even an abstention would be a de facto endorsement of the resolution,"[0, 1, 6, 7, 0]", 1,4,palestine,14,2.4,two thirds of all americans and even almost half of all republican voters believe america should either support or at least not block a un resolution that recognizes palestine as a state,2.5,pro,0,0
1.1.1.3.1,pro,by being the first major western country to recognize palestine sweden led the way for a number of others including france the united kingdom and spain to do the same us recognition could have an even more significant impact given its international reputation,"[0, 1, 5, 9, 0]", 10,4,palestine,15,2.5,the us is one of the world s most influential actors if it were to officially recognize palestine it could serve as a powerful source of inspiration for other allies and nations to push harder for an independent palestinian state,0.0,pro,0,0
1.1.1.3.3,con,the united states is too late to serve as an international role model given that 70 5 of nations already recognize palestine,"[1, 2, 10, 3, 0]", 16,4,palestine,16,1.9,the us is one of the world s most influential actors if it were to officially recognize palestine it could serve as a powerful source of inspiration for other allies and nations to push harder for an independent palestinian state,0.0,pro,0,0
1.1.1.4,con,the ignorance of the american people could cause them to support unethical policies that could do more harm than good,"[1, 3, 2, 2, 1]", 32,3,palestine,9,1.9,public opinion in the us supports this step more americans support an independent palestinian state than oppose it,0.0,pro,1,0
1.1.1.4.2,pro,many americans lack basic geographic knowledge about the world and especially the middle east,"[0, 0, 0, 2, 0]", 4,4,palestine,2,3.0,the ignorance of the american people could cause them to support unethical policies that could do more harm than good,1.9,con,0,0
1.1.1.5,con,while this is currently the case public support for israel has been increasing while support for a palestinian state is decreasing given that the current margin in favor of a palestinian state is small it is likely to disappear in the future,"[0, 3, 10, 2, 1]", 2,3,palestine,16,2.1,public opinion in the us supports this step more americans support an independent palestinian state than oppose it,0.0,pro,0,1
1.1.1.5.1,con,policies are not based upon expected future voter preferences but current voter preferences given that the us should recognise palestine as a state since a majority of the population supports it,"[0, 1, 7, 6, 0]", ,4,palestine,14,2.4,while this is currently the case public support for israel has been increasing while support for a palestinian state is decreasing given that the current margin in favor of a palestinian state is small it is likely to disappear in the future,2.1,con,0,0
1.1.1.6,con,two thirds of americans sympathize more with israel than with palestine only 15 think the other way around this makes the recognition of palestine against israel s explicit preference hard to sell,"[0, 4, 10, 4, 2]", 7,3,palestine,20,2.2,public opinion in the us supports this step more americans support an independent palestinian state than oppose it,0.0,pro,4,2
1.1.1.6.1,pro,the vast majority of republican voters sympathize more with israel than with palestine and do not consider a peaceful two state solution viable politicians in republican dominated us politics have little to gain from defying this,"[0, 2, 8, 5, 0]", 5,4,palestine,15,2.2,two thirds of americans sympathize more with israel than with palestine only 15 think the other way around this makes the recognition of palestine against israel s explicit preference hard to sell,2.2,con,0,0
1.1.1.6.2,pro,almost half of all americans and a majority of republican voters believe that the jewish people are god s chosen people this makes policies perceived as going against israeli interests hard to sell p 9,"[0, 1, 9, 4, 0]", ,4,palestine,14,2.2,two thirds of americans sympathize more with israel than with palestine only 15 think the other way around this makes the recognition of palestine against israel s explicit preference hard to sell,2.2,con,0,0
1.1.1.6.3,pro,in the same vein only a very small minority of 6 would like to see the trump government lean towards the palestinian side in this conflict,"[0, 6, 5, 3, 0]", ,4,palestine,14,1.8,two thirds of americans sympathize more with israel than with palestine only 15 think the other way around this makes the recognition of palestine against israel s explicit preference hard to sell,2.2,con,0,1
1.1.1.6.3.1,con,this is only because the majority of voters want the trump administration to lean towards neither side so this does not indicate a general attitude of support for israel,"[0, 3, 4, 7, 0]", ,5,palestine,14,2.3,in the same vein only a very small minority of 6 would like to see the trump government lean towards the palestinian side in this conflict,1.8,pro,0,0
1.1.1.6.4,pro,the public attitude towards israel gives american politicians little incentive to support positions that run counter to israeli interests in fact support for israel has been labeled as cheap talk giving politicians large benefits with minimal risk p 20,"[0, 2, 6, 7, 0]", 6,4,palestine,15,2.3,two thirds of americans sympathize more with israel than with palestine only 15 think the other way around this makes the recognition of palestine against israel s explicit preference hard to sell,2.2,con,0,0
1.1.1.6.5,con,sympathising with israel is not mutually exclusive to establishing a palestinian state the american public can blame hamas for its aggressive actions but still believe that the palestinian people deserve a state,"[0, 0, 6, 8, 2]", ,4,palestine,16,2.7,two thirds of americans sympathize more with israel than with palestine only 15 think the other way around this makes the recognition of palestine against israel s explicit preference hard to sell,2.2,con,0,0
1.1.1.6.6,con,surveys indicate that the american public would be in support of less amicable and supportive relations with israel,"[0, 3, 8, 3, 0]", 4,4,palestine,14,2.0,two thirds of americans sympathize more with israel than with palestine only 15 think the other way around this makes the recognition of palestine against israel s explicit preference hard to sell,2.2,con,2,1
1.1.1.6.6.1,pro,more than half of americans believe that their government should abandon the principle of not openly criticizing israel and its policies as some demand,"[0, 0, 7, 7, 0]", ,5,palestine,14,2.5,surveys indicate that the american public would be in support of less amicable and supportive relations with israel,2.0,con,0,0
1.1.1.6.6.3,pro,six out of ten americans believe that the united states gives too much or even far too much foreign aid to israel,"[0, 3, 5, 6, 0]", ,5,palestine,14,2.2,surveys indicate that the american public would be in support of less amicable and supportive relations with israel,2.0,con,0,0
1.1.1.6.6.4,con,however less amicable and supportive relations are not the same thing as unilaterally recognising palestine at the expense of american israeli relations,"[0, 0, 5, 9, 0]", ,5,palestine,14,2.6,surveys indicate that the american public would be in support of less amicable and supportive relations with israel,2.0,con,0,0
1.1.2.1.1,pro,as recognition of palestine would be perceived as a step in opposition to israel s stated interests this is likely to be perceived positively throughout the middle east,"[1, 2, 9, 3, 0]", 4,4,palestine,15,1.9,recognition of palestine could improve the image of the us in the arab world,0.0,pro,1,0
1.1.2.1.1.1,pro,few people in major middle eastern countries have positive opinions on israel they do not see the country as a contributor to peace and stability in the region or view relations with israel as important pp 5 7 8,"[0, 1, 7, 6, 0]", ,5,palestine,14,2.4,as recognition of palestine would be perceived as a step in opposition to israel s stated interests this is likely to be perceived positively throughout the middle east,1.9,pro,0,0
1.1.2.1.2,pro,the palestinian conflict colors public perception of the us in the arab world,"[0, 2, 5, 8, 1]", 5,4,palestine,16,2.5,recognition of palestine could improve the image of the us in the arab world,0.0,pro,2,0
1.1.2.1.2.1,pro,the citizens of major us allies including saudi arabia and egypt see the occupation of palestinian territories as a highly problematic issue,"[0, 2, 5, 7, 0]", 6,5,palestine,14,2.4,the palestinian conflict colors public perception of the us in the arab world,2.5,pro,0,1
1.1.2.1.2.1.3.1,pro,israel opened its first diplomatic mission in the united arab emirates uae three months after it stopped bombing gaza in 2015 the gulf states have signed covert deals with the israeli defence contractors to gain access to the idf s prized military technology this is used to secure oil wells economic interests trump the demand for a palestinian state,"[0, 0, 6, 8, 0]", 5,7,palestine,14,2.6,given that the majority of the arab world including saudi arabia and egypt aren t democracies the beliefs of private citizens are largely irrelevant compared to government priorities in regional security and economic interests,0.0,con,0,0
1.1.2.1.2.1.3.2,con,the fact that these countries have backdoor relations with israel indicates that these relations are important for their regional security and economic interests being able to establish a more open relationship is in their interests these countries will therefore care about whether public opinion permits an open relationship,"[0, 7, 5, 2, 0]", 10,7,palestine,14,1.6,given that the majority of the arab world including saudi arabia and egypt aren t democracies the beliefs of private citizens are largely irrelevant compared to government priorities in regional security and economic interests,0.0,con,0,1
1.1.2.1.2.1.3.2.1,con,pressuring israel for a peace deal will likely alienate it as israel does not want to recognise an independent palestine this risks destroying whatever gains have been made through backdoor and covert diplomacy,"[0, 5, 3, 6, 0]", ,8,palestine,14,2.1,the fact that these countries have backdoor relations with israel indicates that these relations are important for their regional security and economic interests being able to establish a more open relationship is in their interests these countries will therefore care about whether public opinion permits an open relationship,1.6,con,0,0
1.1.2.1.2.1.3.3,con,even dictatorships are receptive to popular will to some extent complete disregard for popular opinion always leads to instability,"[0, 1, 7, 6, 0]", 4,7,palestine,14,2.4,given that the majority of the arab world including saudi arabia and egypt aren t democracies the beliefs of private citizens are largely irrelevant compared to government priorities in regional security and economic interests,0.0,con,0,0
