;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;Alien life has existed or does exist.;['6', '7', '16', '36', '44'];;0
1;1.1;pro;Scientific theories support the possibility of alien life.;['3', '2', '0', '0', '6']; 34;1
2;1.1.1;pro;The simulation hypothesis claims we exist as digital lifeforms within a network of information technology. If true, this could indicate the existence of extraterrestrial life.;['2', '0', '0', '2', '3']; 20;2
3;1.1.1.1;pro;Researchers and public figures argue that there is a 50-50 chance we are living in a simulation.;['0', '0', '0', '0', '0']; ;3
4;1.1.1.2;con;Other humans might be running the simulation outlined in the simulation theory.;['0', '1', '0', '0', '0']; ;3
5;1.1.2;pro;The astrophysicist Tomonori Totani has created an equation that may prove that life (RNA), statistically, emerged at least once in each unobservable area of the universe.;['0', '0', '1', '0', '1']; ;2
6;1.1.3;pro;If the Multiverse hypothesis is true, by necessity there is more than one Earth and thus, more than one human species.;['2', '0', '0', '1', '4']; 4;2
7;1.1.3.1;pro;In a multiverse, there are (close to) an infinite number of universes. This would drastically increase the odds of alien life.;['0', '0', '0', '0', '0']; ;3
8;1.1.3.1.1;con;While the odds of alien life would increase in some universe at some time, the odds of not finding them near humans or at a similar time also exponentially increase, meaning that life in the multiverse does not increase our odds overall of discovering alien life.;['0', '0', '0', '0', '1']; ;4
9;1.1.3.2;pro;Behavior of quantum particles - these particles at this atomic and subatomic level can appear to be in two places at once - may indicate the existence of other parallel universes.;['1', '0', '0', '0', '1']; ;3
10;1.1.3.2.1;con;Even if there were parallel universes, it is unclear whether life in those universes would count as alien.;['1', '0', '2', '1', '1']; ;4
11;1.1.3.3;pro;Scientists recently reported detecting signals from the birth of the universe which they believe may be signs of another universe ‘bumping’ against our own.;['0', '0', '1', '0', '0']; ;3
12;1.1.3.4;con;The logic underpinning the multiverse theory is flawed.;['0', '0', '0', '0', '0']; ;3
13;1.1.3.5;con;If the Multiverse hypothesis were true, then each human species would not be considered extraterrestrials by definition because they would be on their Earth.;['0', '0', '1', '0', '0']; ;3
14;1.1.4;con;Renowned astronomer Carl Sagan claims that while scientists are open to investigating the possibilities of the existence of extraterrestrial life, alternative explanations continue to fit our observations better.;['0', '1', '0', '0', '1']; 2;2
15;1.1.5;con;There is no conclusive empirical evidence that supports the existence of alien life.;['0', '1', '0', '0', '1']; ;2
16;1.2;pro;The resilient and adaptable nature of life suggests that life can thrive under conditions other than found on Earth.;['1', '0', '0', '1', '17']; 5;1
17;1.2.1;pro;Findings of so-called extremophiles have allowed scientists to scale back their list of requirements for potential (extraterrestrial) habitats.;['0', '1', '0', '2', '7']; 3;2
18;1.2.1.1;pro;Researchers discovered bacteria in Lake Whillans, which is buried 2,625 feet (800m) below the West Antarctic Ice Sheet.;['0', '2', '1', '6', '0']; ;3
19;1.2.1.2;pro;Three recently discovered multicellular animals living in the muck of the deep Mediterranean seafloor ('Loricifera') do not require oxygen to produce chemical energy.;['0', '0', '0', '0', '2']; ;3
20;1.2.1.3;pro;Tardigrades (also known as water bears) can survive without water for 120 years, freezing to -272.8 °C, heating to 151 °C, the vacuum of space, pressure six times as great as that felt at the bottom of the deepest ocean and doses of X-ray and gamma radiation that are lethal to other life forms.;['0', '1', '7', '9', '5']; 2;3
21;1.2.1.3.1;con;Researchers found that most meteorites would simply get too hot (on average around 1,648 °C), destroying most amino acids and organic material during entry to the Earth's atmosphere.;['0', '0', '0', '0', '0']; ;4
22;1.2.1.3.1.1;con;Life could have come before the atmosphere became too dense.;['0', '0', '0', '1', '0']; ;5
23;1.2.1.4;pro;Researchers found evidence of life in the driest location on Earth, the Atacama Desert. This discovery could have far-reaching implications for alien life (such as the search for life on Mars).;['0', '0', '3', '5', '0']; ;3
24;1.2.1.5;con;The environments life encounters outside Earth are much more extreme than those on Earth, for example, in terms of radiation and the absence of nutrients.;['0', '0', '0', '0', '0']; ;3
25;1.2.1.5.1;pro;Life on Earth emerged in a particularly unique set of conditions and then adapted to current conditions. This would not be available on most planets - life would need to initially emerge in conditions analogous to or more extreme than those that, in every case found so far, require unusual and complex coping mechanisms to survive. (p. 2);['0', '0', '0', '0', '0']; 3;4
26;1.2.1.5.1.1;con;The conditions on Earth when life started were extreme from our point of view today, for example there was no oxygen in the atmosphere, similar to many other planets and celestial bodies.;['0', '0', '9', '5', '1']; ;5
27;1.2.1.5.2;con;When life on Earth emerged, the conditions on the surface of the Earth were that of radiation and lack of nutrients, which suggests that if a small area of any number of potential habitable exoplanets has a source of heat, liquid water, minerals, and chemicals, it could very well lead to a similar outcome.;['0', '0', '0', '0', '0']; 1;4
28;1.2.2;pro;There is no evidence that life can only survive in one specific set of conditions.;['0', '1', '1', '1', '6']; 14;2
29;1.2.2.1;pro;Non-biological alien life may exist in other realms that are accessible by neurochemistry including DMT experiences.;['0', '0', '0', '0', '0']; 10;3
30;1.2.2.2;pro;"There is not a large enough data pool to assume anything about the probability of life occurring; our existence can be written off as sample bias.";['0', '0', '0', '0', '0']; ;3
31;1.2.2.3;pro;It is hypothetically possible for there to be types of biochemistry that are not water, oxygen, or carbon based.;['0', '0', '0', '0', '0']; 6;3
32;1.2.2.3.1;pro;Recent discoveries have not only shown that life is possible in arsenic-rich locations, but that arsenic can even be used in biological processes.;['0', '0', '0', '1', '0']; 2;4
33;1.2.2.3.2;pro;There may be lifeforms based on silicon or sulfide.;['0', '0', '0', '0', '2']; ;4
34;1.2.2.3.2.1;pro;Organisms, when genetically engineered to do so, have shown their ability to generate organo-silicon compounds.;['0', '0', '0', '0', '0']; ;5
35;1.2.2.3.2.2;con;"Hypotheses of silicon's use for forming life are greatly overstated; as it oxidises to a solid, and has a poor range of handedness in compound form, silicon is unlikely to be suitable for life.";['0', '0', '0', '0', '0']; ;5
36;1.2.2.3.3;pro;Methane-based, oxygen-free living cells could exist.;['0', '0', '0', '1', '0']; 4;4
37;1.2.2.3.4;con;These lifeforms are only hypothetical and have no evidence to support them.;['0', '1', '0', '0', '0']; 3;4
38;1.2.2.4;con;Currently, only water- and carbon-based lifeforms have been proven to exist.;['0', '0', '0', '0', '0']; 6;3
39;1.2.2.4.1;pro;Water is vital to the biochemistry of life.;['0', '0', '0', '0', '0']; ;4
40;1.2.2.4.1.1;pro;Water is necessary for life because of its ability to act as a solvent.;['0', '0', '0', '0', '0']; 4;5
41;1.2.2.4.1.1.1;pro;Life requires thousands of interacting molecules at a minimum, and without a solvent to put them into solution, many of these interactions could not occur. H2O is more soluble than any liquid known to man, real or hypothetical, which makes it uniquely suitable for developing life.;['0', '0', '0', '0', '0']; 2;6
42;1.2.2.5;con;There is a narrow band of optimal conditions in which biochemical activity is both vibrant and diverse. This decreases the probability of life creation/sustainability in many habitats.;['0', '0', '0', '0', '1']; 2;3
43;1.2.3;pro;Work in space has already proven that a set of conditions for the transport of lifeforms does not require ongoing support from Earth.;['0', '1', '1', '2', '4']; 5;2
44;1.2.3.1;pro;The International Space Station contains microbial creatures from its early days.;['0', '0', '0', '0', '0']; ;3
45;1.2.3.2;pro;Many plants have been grown in space.;['0', '0', '0', '0', '0']; ;3
46;1.2.3.3;con;Even though ongoing support from Earth is not required, Earth-like conditions are created for life to survive.;['0', '0', '0', '0', '0']; ;3
47;1.2.3.3.1;con;In evolutionary biology, abiogenesis, or informally the origin of life (OoL) is the natural process by which life has arisen from non-living matter.;['0', '0', '0', '0', '0']; 1;4
48;1.2.4;con;Complex life (especially civilizations) requires a more limited range of conditions, making it less likely.;['0', '0', '0', '0', '0']; 4;2
49;1.2.4.1;pro;While life on Earth emerged 3.5 billion years ago, it has only been complex for approx. 500 million years. This suggests that the development of complex life requires long term stable conditions.;['0', '0', '0', '0', '0']; ;3
50;1.2.5;con;The ability of life to survive after its formation is fully different from its ability to form in the first place.;['2', '0', '2', '0', '4']; 1;2
51;1.2.5.1;pro;"Organisms may compete for the same resources, and occupy the same ""niche"", thus eliminating one another.";['0', '0', '0', '0', '0']; 1;3
52;1.2.5.2;con;The Entire Galaxy once started out as nothing.According to the Big Bang Theory, the entire galaxy was created or formed from a space of nothing. Given that we as humans were able to form life from nothing at all it is entirely likely other species have done the same.;['0', '0', '0', '0', '0']; ;3
53;1.2.6;con;An ability or probability is not proof that something actually exists.;['1', '3', '0', '2', '1']; ;2
54;1.2.6.1;pro;It is impossible to prove many theories of science completely.;['0', '0', '0', '0', '0']; ;3
55;1.2.6.1.1;pro;Scientific theories often require falsifiability to make them reliable. As space is so large, it seems unlikely that this could be achieved.;['0', '0', '0', '0', '0']; 4;4
56;1.3;pro;The size, age, and properties of the observable universe allow for an extremely high number of planets on which life could emerge and thrive.;['1', '0', '0', '0', '25']; ;1
57;1.3.1;pro;The Panspermia Theory posits that life was transported to Earth on asteroids or comets and started somewhere else originally.;['0', '0', '0', '0', '0']; 25;2
58;1.3.1.1;pro;Essential ingredients for creating proteins, nucleotides, DNA, and RNA - like free oxygen, phosphorus, sugar, boron, molybdenum - were not freely accessible on the early Earth.;['4', '5', '12', '7', '3']; ;3
59;1.3.1.2;pro;Microbes, viruses and even worms can survive a journey through space. Some bacteria can even survive a relatively unprotected re-entry into Earth’s atmosphere.;['2', '2', '15', '9', '3']; ;3
60;1.3.1.2.2;con;The author of that study attributes their survival to the design of the locker in which they were stored. Meteorites have no such advantages.;['0', '1', '7', '7', '2']; ;4
61;1.3.1.2.2.1;con;A cave inside an iron meteoroid has similar characteristics as a metallic locker.;['0', '0', '0', '0', '0']; ;5
62;1.3.1.3;pro;"The constant thermal motion, radiation, and general ""hellish"" environment on the young Earth might have destroyed naked DNA and complex organic molecules. This increases the likelihood that life came from outer space, as it could not originate from the planet itself.";['1', '8', '13', '2', '2']; 10;3
