;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them - should be banned.;['5', '4', '3', '16', '88'];;0
1;1.1;pro;Bullfighting, as a male-dominated sport, reinforces harmful gender stereotypes.;['38', '23', '20', '11', '17']; 18;1
2;1.1.1;pro;Historically, women have been left out of bullfighting as active subjects. Participation in the practice has been forbidden for women in different times throughout Spanish history.;['1', '5', '14', '6', '1']; 6;2
3;1.1.1.1;pro;For centuries, women could only be eye-candy for male spectators or the bullfighter's suffering mother or wife (p. 36).;['1', '3', '8', '7', '2']; 4;3
4;1.1.1.2;pro;In the first volumes of the Cossío (the most important bullfighting encyclopaedia, which continues to be updated and revised) out of 4,125 pages, only 11 are dedicated to women and only under comical shows, ignoring pioneers like Conchita Cintrón or Juanita Cruz (p. 3-4).;['1', '3', '7', '9', '1']; 17;3
5;1.1.1.3;con;There are currently no discussions to forbid women's participation in bullfighting.;['1', '0', '0', '0', '0']; ;3
6;1.1.2;pro;The town of Astorga promoted a bullfighting festivity in honour of “the Spanish Women”, in which women (and children under 8) could enter for free, as long as they went with someone holding a ticket (a man). This is an initiative that equates women to children and uses them as a tactic to increase attendance.;['2', '13', '6', '6', '1']; 13;2
7;1.1.3;pro;When the Indian Supreme Court banned jallikattu (bullfighting) in Tamil Nadu, animal rights activists like Tamil actress Trisha faced misogynist attacks by fans. The male actors who took a similar stand were not targeted by the protesters.;['2', '9', '9', '3', '4']; 14;2
8;1.1.3.1;con;This may have nothing to do with bullfighting specifically, as high-profile women who take public stances on political issues generally receive substantial amounts of abuse and threats.;['1', '1', '6', '0', '0']; ;3
9;1.1.3.1.1;con;The issues where women face mysoginist attacks are generally those where there is a masculinity ethos, i.e., those where qualities such as strenght are valued over ethical qualities like kindness and compassion. Therefore, even though it is very common to see this kind of attack happening in many issues, bullfighting seems to be prone to this kind of attack.;['0', '0', '0', '0', '0']; ;4
10;1.1.4;con;Bullfighting could easily become more inclusive for women in the future. The current situation is no reason to outright ban the sport.;['0', '7', '11', '3', '1']; 4;2
11;1.1.4.1;pro;If female bullfighters are successful, as some were in the 1990s, there will be pressure to change the traditional male-dominated narratives of bullfighting.;['0', '0', '0', '0', '0']; 19;3
12;1.1.4.1.2;con;Female bullfighters - such as Beatriz Romero, Joaquina Ariza or Cristina Sánchez - have proved their mastery in the arena, yet they have endured sexism in the form of fewer bookings, less payment, and less recognition, among other issues.;['0', '0', '0', '0', '0']; 4;4
13;1.1.4.2;pro;For example, in Portugal, there are two parts of the bullfight, one where the bullfighter on a horse puts some kind of sticks in the bull, the other where the 'forcados' stop the bull by immobilizing him. In the first category there are many famous female bullfighters and almost always is there a woman fighting, in the second, there is less representation, but there are female groups of 'forcados'.;['0', '0', '0', '0', '0']; 4;3
14;1.1.5;con;An activity being primarily done by men does not necessarily mean that it reinforces gender stereotypes.;['0', '0', '0', '0', '0']; ;2
15;1.1.6;con;There are no separate categories for men and women in bullfighting.;['2', '10', '8', '3', '4']; ;2
16;1.1.6.1;con;This might well be a result of the absence of women in the sport. Where there are no women, there is no need for a separate category of women's bullfighting.;['1', '3', '10', '6', '0']; ;3
