;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;In an exclusive relationship you should confess to your partner after a one night stand.;['5', '2', '3', '19', '8'];;0
1;1.1;pro;Revealing the one night stand enhances the long-term stability of the relationship.;['2', '7', '9', '3', '7']; 11;1
2;1.1.1;pro;Knowing about one's partner's infidelity would help identify and subsequently work on the problems in the relationship.;['0', '0', '2', '0', '0']; ;2
3;1.1.1.1;pro;Open communication on how to move forward after obstacles can benefit and strengthen a relationship.;['0', '0', '2', '0', '0']; 7;3
4;1.1.1.2;pro;Confessions of infidelity can lead to a better relationship by forcing examination and discussion.;['0', '0', '1', '1', '0']; 16;3
5;1.1.1.2.1;pro;If underlying dissatisfaction with the state of the relationship has contributed to cheating, the confession can act as a wake-up call to one's partner about problems that they may be ignoring or perpetuating.;['0', '1', '6', '4', '0']; 3;4
6;1.1.1.2.2;pro;"A confession and apology can result in the cheated-upon partner being willing ""to forgive, regain trust, and reconcile the relationship"", and more so than in the absence of a confession and apology (p. 10).";['0', '1', '6', '5', '0']; ;4
7;1.1.1.2.2.1;pro;Apologies are helpful in softening negative attitudes toward an offender and in reducing urges to aggressively retaliate.;['0', '1', '8', '4', '1']; ;5
8;1.1.1.2.2.2;con;Statistics show that the likelihood of a breakup after revealing an affair is two to three times higher than forgiveness (p. 8-9).;['0', '0', '5', '4', '1']; ;5
9;1.1.1.2.3;pro;Common reasons for infidelity are feelings of dissatisfaction and neglect in the relationship, more so than sexual desire or the excitement of risk.;['0', '1', '5', '5', '1']; 1;4
10;1.1.1.2.3.1;con;Many partners engage in affairs because they are sexually unsatisfied.;['1', '1', '11', '1', '0']; 10;5
11;1.1.1.2.3.1.1;pro;Men who had affairs were significantly more sexually dissatisfied in their marriages compared with women.;['0', '0', '8', '6', '0']; ;6
12;1.1.1.2.3.1.2;con;There is evidence that a propensity to sexual infidelity is heritable. Thus, it cannot simply be blamed on sexual dissatisfaction.;['0', '3', '10', '0', '1']; 8;6
13;1.1.1.2.3.1.2.1;pro;There is ample evidence that humans are not wired for monogamy, meaning that some infidelity is inevitable, even if all relationships are strong.;['0', '2', '5', '5', '0']; 1;7
14;1.1.1.2.3.1.2.1.1;con;Even if natural polyamory is backed by evidence, people may not consider or recognise non-monogamous relationships due to the associated social stigma.;['0', '0', '2', '0', '0']; 25;8
15;1.1.1.2.4;pro;Some couples might be happiest in a semi-monogamous relationship: cheating might enable partners to consider this as an option.;['1', '6', '4', '1', '1']; 24;4
16;1.1.1.2.4.1;pro;Extramarital involvement causes distress both to participants and their partners. A confession can transform the relationship into an open one and make everything less stressful.;['0', '2', '10', '1', '1']; 1;5
17;1.1.1.2.4.2;con;A couple turning to a non-monogamous relationship works extremely rarely to improve and save the marriage.;['0', '0', '2', '6', '0']; ;5
18;1.1.1.2.4.3;con;An overwhelming majority of US adults would never consider being in an open relationship.;['0', '4', '6', '3', '1']; ;5
19;1.1.1.2.4.4;con;Even if this is the case, starting that conversation in the context of a breach of trust is unlikely to get a positive and open reaction from your partner.;['0', '1', '5', '6', '2']; 1;5
20;1.1.1.2.4.4.1;pro;Non-monogamous relationships are built on mutual trust to work. Cheating erodes this foundation.;['0', '1', '2', '4', '1']; 1;6
21;1.1.1.2.5;pro;Sexual infidelity is often found when individuals experience sexual boredom but are otherwise satisfied with the relationship.;['0', '0', '1', '1', '0']; 2;4
22;1.1.1.2.5.1;con;This does not make the breach of trust any less significant.;['1', '0', '3', '7', '2']; ;5
23;1.1.1.2.5.2;con;This still indicates underpinning issues in the relationship that one's partner deserves to know about and have an opportunity to address.;['0', '3', '4', '6', '0']; 5;5
24;1.1.1.2.6;con;Only a few relationships experience growth or improvement as a result of cheating.;['0', '0', '0', '0', '0']; 1;4
25;1.1.1.2.7;con;Many relationships are already strong and healthy even if one partner had a spontaneous one night stand.;['0', '4', '8', '1', '0']; 11;4
26;1.1.1.2.7.1;pro;"The majority of individuals who are unfaithful are ""content"" in their relationships. This indicates that most people do not cheat because they're unhappy but because they ""could be happier"".";['1', '2', '7', '3', '1']; 3;5
27;1.1.1.2.8;con;Those who have affairs tend to see their own affairs as the result of relationship problems, whereas they see the partner's affairs as the cause of relationship problems. A confession might therefore not help to solve problems as the partner might rather see cheating as a cause rather than a result of these problems.;['0', '0', '5', '5', '2']; 4;4
