;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;Feminism is a force for good in the world.;['13', '6', '8', '4', '37'];;0
1;1.1;pro;Feminist spaces are open and accepting places for political discussion.;['2', '1', '3', '1', '0']; 4;1
2;1.1.1;pro;Feminism creates a space for women's views, concerns, and issues to be heard in what has traditionally been - and continues to be - a political environment very much dominated by men.;['0', '0', '2', '1', '0']; 8;2
3;1.1.1.1;pro;Feminism helps breed recognition and support for under-represented female leaders and ideas.;['0', '1', '2', '1', '0']; 1;3
4;1.1.1.1.1;pro;The existence of powerful female leaders can change social perceptions of women's abilities and opportunities. This could make it possible for more women to advance in a range of roles.;['0', '0', '2', '1', '0']; ;4
5;1.1.1.1.2;pro;Female leaders can provide inspiration for other women who aspire to positions of influence.;['0', '0', '2', '1', '0']; ;4
6;1.1.1.1.3;con;There is no reason to believe that women particularly benefit from other women holding leadership positions.;['0', '1', '3', '0', '1']; ;4
7;1.1.1.1.3.1;pro;Margaret Thatcher, ex-British Prime Minister, notoriously decried feminism and stood against advancements justified on the basis of gender.;['0', '0', '2', '1', '0']; ;5
8;1.1.1.1.3.2;con;Female leaders understand the specific problems facing women, from a first person perspective, in a way that a male leader cannot. This different perspective makes change in a world that often overlooks women.;['0', '0', '3', '0', '0']; ;5
9;1.1.1.2;pro;As women gain equal rights, societies become more peaceful, making it more likely that the voices of others are considered in politics.;['0', '0', '2', '1', '0']; 1;3
10;1.1.1.2.1;pro;Conflicts are 35% more likely to be resolved, and remain peaceful for another 15 years, when there are women involved in the formal peace process.;['0', '0', '2', '1', '0']; 1;4
11;1.1.1.2.2;con;As TERFs take on powerful roles in society, perpetuating colonial and exploitative thinking, many women may be excluded, lose their rights, and feel like their voice is not being considered.;['0', '0', '2', '1', '0']; 4;4
12;1.1.1.3;pro;Feminism keeps women's rights in popular discourse and at the top of people's minds.;['0', '1', '3', '0', '1']; ;3
13;1.1.1.3.1;pro;Banners for feminist marches are often eye-catching, drawing attention both at the time and at later art exhibitions. This keeps the campaign goal in people's memories.;['0', '0', '2', '1', '0']; ;4
14;1.1.1.3.2;pro;The Guerrilla Girls, a feminist art collective, keep their critiques of museum cultures within the public consciousness with their bold and engaging activism.;['0', '0', '3', '0', '0']; ;4
15;1.1.1.3.3;con;"Increased social media use makes it easier to highlight injustice; it may be that certain platforms help to keep women's rights relevant rather than the nature of the feminist movement itself.";['0', '0', '3', '0', '0']; ;4
16;1.1.1.4;con;"It is unlikely that men in politics are wholly free from the influence of women; they probably advocate for the women in their lives whose interests they care about.";['0', '0', '3', '0', '0']; 14;3
17;1.1.1.4.1;pro;Frederick Pethick-Lawrence, husband of socialist activist Emmeline, avidly supported suffrage and later became an MP in the UK. He is likely to have ensured his wife's perspective was integrated in his politics.;['0', '0', '2', '1', '0']; ;4
18;1.1.1.4.2;con;Even if a man nominally advocates for women's views, through the process of horse-trading he may be inclined to trade them off for political gain given the issues do not affect him directly.;['0', '0', '2', '1', '0']; 2;4
19;1.1.1.5;con;While the public face of politics may appear to be male-heavy, many platforms exist within the socio-political system that allow women's issues to be raised or tabled.;['0', '0', '3', '1', '0']; 12;3
20;1.1.1.5.1;pro;Women have the freedom of speech and many use it to make their voices heard through various forms of media, publishing, and social media platforms.;['0', '0', '2', '1', '0']; 2;4
21;1.1.1.5.1.1;pro;Academic journals, like the Feminist Review, promote feminist perspectives and ensure they are heard in academia.;['0', '0', '2', '1', '0']; ;5
22;1.1.1.5.1.2;pro;Women often make ample use of social media platforms to share information relevant to them, including political campaigns.;['0', '0', '2', '1', '0']; ;5
23;1.1.1.5.1.3;con;Sexist harassment online may have a chilling effect on women's speech as it is both rampant, and a threat to their safety.;['0', '0', '3', '0', '0']; ;5
24;1.1.1.5.1.4;con;Women experience sexism through gendered censorship meaning that they struggle to defend their rights. Feminism is necessary to fight this and reduce the potential for further oppressive action.;['0', '0', '3', '0', '0']; ;5
