;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;There is no free will.;['37', '22', '18', '34', '100'];;0
1;1.1;pro;Human actions and choices can be traced back to external deterministic causes.;['12', '8', '9', '23', '75']; 69;1
2;1.1.1;pro;Empirical evidence is consistent with a deterministic universe that lacks free will.;['0', '0', '0', '0', '0']; 1;2
3;1.1.1.1;pro;Science itself is is driven by determinism. The scientific method is presuming causality to find the root causes of certain events.;['0', '0', '0', '0', '1']; ;3
4;1.1.1.1.1;con;If determinism is true, then the our understanding that determinism is true is based on chance conditions of physics and chemistry, not reason and logic. If determinism is false, the conclusion is obviously incorrect.;['0', '0', '0', '0', '0']; 4;4
5;1.1.1.1.1.1;pro;"Without free will, the scientist cannot choose what conclusions to draw from these observations, but must conclude what she is determined to conclude. Therefore such conclusions cannot be trusted.

If determinism is true, then the conclusions are based on chance conditions of physics and chemistry, not reason and logic. If determinism is false, the conclusion is obviously incorrect.";['0', '0', '0', '0', '0']; ;5
6;1.1.1.1.1.1.1;con;Predetermination does not invalidate the proven effectiveness of logic. If determinism is true, not only are conclusions in accordance to deterministic patterns (which makes them logical), but they must be in accordance to such patterns and such patterns must be valid (rendering such conclusions correct).;['0', '0', '0', '0', '1']; ;6
7;1.1.1.1.1.1.2;con;"If determinism is true, all that happens is in accordance to patterns. Patterns which we happen to intellectually grasp and systematize into something we call ""logic"".";['0', '0', '0', '0', '1']; ;6
8;1.1.1.1.1.2;con;Predetermination does not invalidate the proven effectiveness of logic. In fact causal determinism demands it.;['0', '0', '0', '0', '2']; ;5
9;1.1.1.1.2;con;"There can still be causality with nondeterminism. Determinism/nondeterminism is not relevant for finding the root cause of certain events. Therefore science is not necessarily ""driven by determinism"".";['0', '0', '0', '0', '0']; 1;4
10;1.1.1.1.2.1;pro;Even in nondeterministic events, scientists are capable of understanding the cause of the event's outcome. This is demonstrated by nondeterministic functions.;['0', '0', '0', '0', '0']; 10;5
11;1.1.1.1.2.1.1;pro;Consider the simple nondeterministic function: f(x) = x+b, where b is randomly sampled between 0 and 1 every time the function is called. When the result is 100, x must have been between 99 and 100. Scientists can know this despite the event being nondeterministic.;['0', '0', '0', '0', '0']; ;6
12;1.1.1.1.2.2;pro;Causality and determinism are two completely different things which do not depend on each other.;['0', '0', '0', '0', '0']; 1;5
13;1.1.1.2;pro;Free will is not compatible with our understanding of the mechanisms that govern the universe and, therefore, likely does not exist.;['0', '0', '0', '1', '0']; 13;3
14;1.1.1.2.1;pro;To believe in free will is to believe that cause and effect is not absolute.  In other words, to believe in free will is to believe in magic.;['0', '0', '0', '0', '0']; 7;4
15;1.1.1.2.1.1;con;Cause and effect isn't necessarily absolute at every level of the Universe (e.g. at the subatomic level cause-effect breaks down) but things are still inherently causal or random, not determined by human free will.;['0', '0', '0', '0', '0']; ;5
16;1.1.1.2.2;pro;The laws of physics, as we know them, are either deterministic or fundamentally random. In both cases, they are out of our control.;['0', '0', '0', '0', '0']; 4;4
17;1.1.1.2.2.1;pro;"In computer science, there is an unsolved problem ""P=NP?"" that represents question of whether computer program execution that is nondeterministic can compute more than corresponding deterministic execution.";['0', '0', '0', '0', '0']; 3;5
18;1.1.1.2.2.1.1;pro;P=NP;['0', '0', '0', '0', '0']; 1;6
19;1.1.1.2.2.2;pro;Scientific interpretations of quantum mechanics are either deterministic or probabilistic (or agnostic on the matter) and no third mechanism has yet been suggested.;['0', '0', '0', '0', '0']; 1;5
20;1.1.1.2.2.3;con;Scientific theories (including the laws of physics) are not facts and don't prove anything.  If there is good evidence for free will, then we will have to revise our theories.;['1', '0', '0', '0', '0']; ;5
21;1.1.1.2.2.3.1;con;"This echoes the ""Just a theory"" argument used by some to dispute evolution by natural selection. Scientific theory is the best and most rigorously tested information available about a subject, not someone's wild idea.";['0', '0', '0', '0', '0']; ;6
22;1.1.1.2.2.3.2;con;This suggests irrelevance of scientifically proven theories, while, in fact, science has much to say in this dispute.;['0', '0', '0', '0', '0']; ;6
23;1.1.1.2.2.3.3;con;Scientific theory claiming either determinism or quantum randomness can change in the face of good evidence for free will but currently lacking this good evidence it is justified for humanity to follow the current scientific consensus.Interpretations of quantum mechanics are either deterministic or probalistic (or agnostic), no third mechanism has yet been suggested;['0', '0', '0', '0', '0']; ;6
24;1.1.1.2.2.4;con;The laws of physics are also probabilistic, meaning that events and motivations merely change the distribution of possible outcomes and choices, but don't necessarily determine them.;['1', '0', '0', '2', '0']; 3;5
25;1.1.1.2.2.4.1;con;The claim that physics are probabilistic doesn't contradict the fact that the laws of physics are either deterministic or governed by probabilistic true randomness at a quantum level.;['0', '0', '0', '0', '0']; ;6
