;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;The US should adopt stricter gun control legislation, in the form of the policy defined in the background discussion info.;['56', '21', '5', '14', '104'];66;0
1;1.1;pro;Gun control measures are an effective way to limit the incidence and impact of mass shootings.;['8', '1', '2', '7', '5'];19;1
2;1.1.1;pro;Certain guns make it easier for a violent person to kill several people before they can be stopped.;['0', '0', '2', '1', '1']; ;2
3;1.1.1.1;pro;Guns can be used to kill from a distance, making them harder to protect against.;['0', '1', '2', '0', '0']; 2;3
4;1.1.1.2;pro;More than half of mass shootings were conducted using semi-automatic weapons with high-capacity magazines.;['0', '0', '3', '0', '0']; ;3
5;1.1.1.2.1;pro;The deadliest lone actor mass shooting in the US was committed with a firearm that simulates fully automatic fire, which indicates that a ban on automatic weapons is ineffective.;['0', '0', '3', '0', '0']; 17;4
6;1.1.1.2.2;con;Less than a third of 1% of mass shootings are carried out using large-capacity magazines, therefore proposed legislation to restrict this particular type of firearm isn't likely to have a significant effect on their incidence.;['0', '0', '3', '0', '0']; ;4
7;1.1.1.3;con;Knives, cars, bombs, and other weapons can be just as easy to use and as lethal as firearms.;['0', '1', '2', '0', '0']; 24;3
8;1.1.1.3.1;pro;Bombs can be used instead of firearms to hurt people.;['0', '1', '2', '0', '0']; 3;4
9;1.1.1.3.1.1;pro;There have been several bombings in recent years, like the ones in Austin Texas, the Boston Marathon bombing, and the Oklahoma City Bombing.;['0', '0', '3', '0', '0']; ;5
10;1.1.1.3.1.2;pro;It is easy to make a bomb.;['0', '0', '3', '0', '0']; 1;5
11;1.1.1.3.1.3;pro;Bombs can be detonated remotely making them harder to defend against than guns.;['0', '1', '2', '0', '0']; 4;5
12;1.1.1.3.1.4;con;The fact that there have only been a few significant bombings implies that the ease of obtaining a gun is part of what makes people more likely to commit mass murder.;['0', '1', '1', '0', '1']; 3;5
13;1.1.1.3.1.5;con;Suppliers are encouraged to flag people who purchase the components needed to make a bomb, like large amounts of fertilizer.;['0', '0', '2', '1', '0']; ;5
14;1.1.1.3.2;pro;Vehicles can be used as deadly weapons.;['0', '2', '1', '0', '0']; ;4
15;1.1.1.3.2.1;pro;Each year in the US there are roughly the same number of deaths due to car incidents (40,000) as gun-related incidents (36,383). If saving lives were the only concern, then stronger regulations should be placed on motor vehicles.;['0', '1', '2', '0', '0']; 9;5
16;1.1.1.3.2.1.1;pro;It is possible to cause a comparable amount of harm as someone armed with a gun by combining the element of surprise with certain weapons or dangerous tools like cars and knives.;['0', '2', '1', '0', '0']; 2;6
17;1.1.1.3.2.1.2;con;Automobiles have been made safer by the regulations and laws put in place throughout history. This suggests that while regulation of deadly things like cars and guns are difficult to enact, regulations ultimately reduce the risks of injury and death.;['0', '0', '1', '1', '0']; 2;6
18;1.1.1.3.2.1.2.1;pro;As fatality rates in road traffic accidents have trended upward, new vehicle regulations aimed at saving lives (seat belts, airbags, no texting, etc.) have been introduced.;['0', '0', '2', '1', '0']; 7;7
19;1.1.1.3.2.1.2.1.1;pro;Primary enforcement of mandatory seat belt laws reduces road deaths.;['0', '0', '2', '1', '0']; ;8
20;1.1.1.3.2.1.3;con;Strong restrictions on car ownership are rarely proposed as a solution as banning cars would have a wider and stronger negative impact than banning guns.;['0', '1', '1', '1', '0']; 10;6
21;1.1.1.3.2.1.3.1;pro;America is heavily dependent on cars, meaning that outlawing them would be profoundly impractical. The concern for saving lives is offset by this factor.;['0', '0', '2', '1', '0']; 7;7
22;1.1.1.3.2.1.3.1.1;pro;Many cities and states the US are spread out and poorly serviced by public transit. Living in these places without a car severely limits employment opportunities.;['0', '0', '3', '0', '0']; 1;8
23;1.1.1.3.2.1.4;con;The rate of car crash deaths has steadily decreased while the gun death rate has increased over the years.;['0', '0', '2', '1', '0']; ;6
24;1.1.1.3.2.2;pro;Something as common as a truck can be more deadly than a gun.;['0', '2', '1', '0', '0']; 9;5
25;1.1.1.3.2.3;con;In response to automobile-related terrorism, laws and regulations have been put in place to restrict vehicular access to pedestrian areas.;['0', '0', '2', '0', '1']; ;5
26;1.1.1.3.2.4;con;Whereas guns are tools designed to cause harm, automobiles are designed for transportation.;['0', '0', '3', '0', '0']; ;5
27;1.1.1.3.3;pro;There are many examples around the world of mass stabbings, showing that a knife can be just as harmful as a firearm.;['0', '1', '2', '0', '0']; 11;4
28;1.1.1.3.3.1;pro;Knife wounds can be even more deadly than bullet wounds.;['0', '0', '3', '0', '0']; 6;5
29;1.1.1.3.3.1.1;pro;Edged weapons like knives and swords are capable of causing significant amounts of harm in very short periods of time in densely populated spaces because they are not limited by the availability of ammunition.;['0', '0', '3', '0', '0']; ;6
30;1.1.1.3.3.1.2;con;A study found there to be no significant difference between fatalities from gun shots or those from stab wounds.;['0', '0', '3', '0', '0']; 2;6
31;1.1.1.3.3.2;pro;One man killed 19 and injured another 26 in one stabbing incident in Japan.;['0', '0', '3', '0', '0']; ;5
32;1.1.1.3.3.3;pro;A group of eight terrorists armed with knives killed 31 people and injured more than 140 others in Kunming, China.;['0', '0', '3', '0', '0']; ;5
33;1.1.1.3.3.4;pro;According to FBI crime data, deaths by knives in the US outnumber deaths by rifles by 5 to 1.;['0', '0', '1', '0', '0']; ;5
34;1.1.1.3.3.4.1;con;The FBI crime data chart lists the number of murders per type of gun (handguns, rifles, shotguns, and unknown firearm), but groups all knives and cutting instruments together. Taken together, gun-related murders vastly outnumber knife-related murders.;['0', '0', '2', '0', '1']; ;6
35;1.1.1.3.3.4.1.1;pro;Handgun-related murders outnumber knife-related murders in almost every state 2 to 1.;['0', '0', '2', '1', '0']; ;7
36;1.1.1.3.3.5;con;It is much easier to stop someone with a knife than it is to stop someone with a gun. For example, police were able to shoot the knife-wielding suspects in the 2014 Kunming attack.;['0', '1', '2', '0', '0']; ;5
37;1.1.1.3.3.6;con;Attempting to defend oneself with a knife is an ineffective tactic when compared to stopping the assailant with a handgun.;['0', '1', '2', '0', '0']; ;5
38;1.1.1.3.4;con;America has a much higher annual death rate from gun violence than from deaths caused by bombings, airplane crashes, or deliberate vehicular attacks.;['0', '1', '1', '1', '0']; 4;4
39;1.1.1.3.5;con;Other methods of hurting individuals, like hunting knives or cars, can be banned and regulated as well.;['0', '0', '2', '1', '0']; 8;4
40;1.1.1.3.6;con;Rejecting gun control legislation as a partial solution because it fails to totally eliminate homicide is an example of the Nirvana fallacy.;['0', '0', '2', '1', '0']; 2;4
41;1.1.2;pro;A study comparing the mass murder rate with the strictness of gun control laws in the US between 2009 and 2015 found that as gun control policy strictness increased, instances and severity of mass murder in that state both decreased (p. 14-15).;['0', '0', '2', '1', '0']; ;2
42;1.1.2.1;pro;If there are fewer guns in circulation, it is more difficult for one to fall into the wrong hands.;['0', '0', '2', '0', '0']; ;3
