;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;Would we like to live in the world of Harry Potter?;['0', '3', '8', '3', '0'];;0
1;1.1;pro;The wizarding world is safer than the Muggle world.;['1', '1', '8', '3', '0']; ;1
2;1.1.1;pro;The wizarding world has access to magical healthcare, which is far superior to Muggle healthcare.;['0', '0', '3', '8', '0']; 7;2
3;1.1.1.1;pro;There are many healing spells that can be used to treat diseases and injuries.;['0', '0', '2', '9', '0']; ;3
4;1.1.1.1.1;pro;Episkey is a spell that heals relatively minor injuries such as broken noses and split lips.;['0', '1', '1', '9', '0']; ;4
5;1.1.1.1.2;pro;Anapneo is a spell that clears a victim's airway if they are choking.;['0', '0', '2', '9', '0']; ;4
6;1.1.1.1.3;pro;Vulnera Sanentur is a song-like incantation of a healing spell and counter-curse to the Sectumsempra spell, invented by Severus Snape. It has also been used by other wizards such as Dumbledore and Madam Pomfrey.;['0', '0', '2', '9', '0']; ;4
7;1.1.1.1.4;con;One does not have to be a Healer to use these spells, and poorly administered treatments can have disastrous results.;['0', '2', '8', '1', '0']; 5;4
8;1.1.1.1.4.1;pro;Gilderoy Lockhart attempts to mend Harry's arm but instead removes all the bones in the arm requiring painful treatment to regrow them.;['0', '0', '8', '3', '0']; ;5
9;1.1.1.2;pro;Magical creatures can also be used to provide cures to some illnesses and injuries.;['0', '0', '3', '8', '0']; 3;3
10;1.1.1.2.1;pro;Phoenix tears have immense healing powers and are the only cure for Basilisk venom.;['0', '0', '3', '8', '0']; ;4
11;1.1.1.2.1.1;con;However phoenix tears are incredibly rare.;['0', '1', '8', '2', '0']; ;5
12;1.1.1.2.2;pro;Murtlap Essence is used to soothe painful cuts and abrasions.;['0', '0', '3', '8', '0']; ;4
13;1.1.1.2.3;pro;Mandrakes are a key ingredient in Restorative Draught, which cures those who have been petrified by a Basilisk.;['0', '2', '2', '7', '0']; ;4
14;1.1.1.3;pro;There are some medicines only wizards have access to. One medicine can regrow bones.;['0', '0', '4', '7', '0']; 5;3
15;1.1.1.3.1;con;There are also diseases and injuries that solely affect the magical population.;['0', '1', '5', '4', '1']; 9;4
16;1.1.1.3.1.1;pro;Dragon pox is a potentially fatal contagious disease that occurs in wizards and witches. It is similar to chicken pox but far deadlier.;['0', '0', '2', '9', '0']; ;5
17;1.1.1.3.1.2;pro;Mis-Apparation can lead to Splinching.;['0', '1', '5', '5', '0']; 9;5
18;1.1.1.3.1.2.1;pro;Ron Weasley was badly injured after splinching away part of his upper arm while side-along apparating from Grimmauld Place.;['0', '0', '6', '6', '1']; ;6
