;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;European monarchies should be abolished.;['22', '17', '11', '17', '34'];;0
1;1.1;pro;Monarchies are costly.;['25', '18', '14', '11', '29']; 5;1
2;1.1.1;pro;Monarchy costs should be avoided, especially when people in a country are in dire need of help and taxes could be devoted to helping them.;['1', '1', '1', '0', '2']; ;2
3;1.1.1.1;pro;There is no reason why millions of tax payer's money should be put into a royal family when food banks, homelessness and child poverty are on the increase in the UK.;['0', '0', '0', '0', '1']; 1;3
4;1.1.1.1.1;pro;The Queen of England spent £369 million of taxpayers money on redecorating Buckingham Palace, when that money could have been spent on improving the NHS, re-establishing community centres, providing job skill training schemes or helping the elderly and the homeless.;['0', '0', '0', '0', '0']; 1;4
5;1.1.1.2;pro;Monarchs are able to enjoy lavish life at the expense of taxpayers.;['0', '0', '0', '0', '0']; ;3
6;1.1.1.2.1;pro;The Dutch royal family costs taxpayers approximately 41.4 million euros a year.;['0', '0', '0', '0', '0']; ;4
7;1.1.1.2.3;pro;The British royal family cost the taxpayer 40.1 million pounds in the financial year 2015-2016.;['0', '0', '0', '0', '0']; ;4
8;1.1.1.2.3.1;pro;When the Queen of the UK visited Australia in 2006 (a country where she is still the sovereign) it cost the Australian taxpayers $1.8 million to host her. This illustrates overall costs.;['0', '2', '6', '3', '1']; 3;5
9;1.1.1.2.3.3;con;The UKs Crown Estate brought in £330 million in 2016/17, and the government kept 75%.;['0', '0', '0', '0', '1']; ;5
10;1.1.1.2.3.4;con;That is roughly comparable to the annual interest on the 9 billion pounds the UK spent to host the Olympics in 2012.;['0', '0', '0', '0', '0']; ;5
11;1.1.1.2.4;con;Presidents of republics and other officials also enjoy wealthy lifestyles funded by taxes.;['0', '0', '0', '0', '0']; 4;4
12;1.1.1.2.4.1;con;Some of those officials are democratically elected and, when they are not, unlike monarchs, their terms are limited to a certain period and are not inheritable.;['0', '0', '0', '0', '0']; ;5
13;1.1.1.2.5;con;In the case of the Royal Family of the United Kingdom the evidence that they are paid for by taxation is disputed and open to interpretation depending on your source and political or ideological leaning.;['0', '0', '0', '0', '0']; 2;4
14;1.1.1.3;pro;In countries like Spain, where almost half of young people are unemployed, these costs should be avoided.;['0', '0', '0', '0', '0']; 10;3
15;1.1.1.3.1;pro;At the end of 2011, almost 1 in 4 of Spain's economically active citizens were out of work and the economy was in recession.;['0', '0', '5', '5', '0']; ;4
16;1.1.1.3.2;pro;Selling off the state's possessions would create additional money in the country's budget, and reduce the tax burden for everyone in the country.;['0', '1', '1', '1', '0']; 2;4
17;1.1.1.3.2.1;pro;The Crown Estate, in Britain, has a capital value of £11.5 billion and the Royal Collection is valued at £10 billion.;['0', '1', '1', '2', '0']; ;5
18;1.1.1.3.2.2;con;The UK saves millions of pounds each year because the Royal Family voluntarily surrenders revenue from royal lands to Parliament.;['1', '0', '4', '1', '0']; 10;5
19;1.1.1.3.2.2.1;pro;An additional source states as of 2011 a £230.9 million income from the Crown Estate, against £32.1 million Royal Household expenditure.;['0', '0', '3', '1', '1']; ;6
20;1.1.1.3.2.2.2;pro;The UK Crown typically brings in more money via the Crown Estates than is granted by the Sovereign Grant.;['0', '2', '5', '3', '0']; 4;6
21;1.1.1.3.2.2.2.1;pro;Only 15% of the Crown Estate is devoted to the monarchy.;['0', '0', '0', '0', '0']; ;7
22;1.1.1.3.2.2.3;con;If that land was publicly owned instead of part of the Crown Estate, those revenues would already be available to Parliament.;['0', '5', '3', '3', '1']; ;6
23;1.1.1.3.2.2.3.1;con;Seizing the land, while no doubt profitable, would be illegal.;['0', '0', '0', '0', '0']; ;7
24;1.1.1.3.2.2.3.1.1;con;"Abolishing the monarchy would itself be illegal; the discussion already presupposes a change in the law.";['0', '0', '0', '0', '0']; ;8
25;1.1.1.3.2.2.4;con;Aristocrats (hereditary peers or landed gentry) still own a third of land in England and Wales. The country’s largest individual landowners are the the Duke of Buccleuch and Queensberry, the Duke of Atholls and the Prince of Wales.;['0', '2', '2', '0', '1']; 2;6
