;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;The US Should Recognize Palestine as a State.;['16', '7', '10', '14', '37'];;0
1;1.1;pro;The US has an obligation to recognise Palestine as a state.;['1', '0', '0', '0', '0']; 5;1
2;1.1.1;pro;Public opinion in the US supports this step: more Americans support an independent Palestinian state than oppose it.;['0', '0', '0', '0', '0']; 3;2
3;1.1.1.1;pro;Two thirds of all Americans - and even almost half of all Republican voters - believe America should either support or at least not block a UN resolution that recognizes Palestine as a state.;['1', '1', '4', '10', '1']; ;3
4;1.1.1.1.1;pro;The US historical pattern of vetoing nearly every UN Security Council resolution unfavorable to Israel demonstrates that even an abstention would be a de facto endorsement of the resolution.;['0', '1', '6', '7', '0']; 1;4
5;1.1.1.2;pro;History makes it abundantly clear that citizens make social change possible by spurring the government to take action.;['0', '0', '0', '0', '0']; 13;3
6;1.1.1.2.1;pro;"Informed citizens are able to improve policy-making; politicians enact policies that reflect public pressure and actually improve lives and society at large.";['0', '0', '0', '0', '0']; ;4
7;1.1.1.2.2;pro;In 2019, citizens across 185 countries came together to raise their voices and call for governmental action against climate change.;['0', '0', '0', '0', '0']; ;4
8;1.1.1.2.3;pro;In Ireland, abortion rights were secured largely as a result of campaigns championed by women.;['0', '0', '0', '0', '0']; 3;4
9;1.1.1.2.4;pro;In the United States, changes in public opinion toward the LGBTQ community preceded legislation that protected marriage equality.;['0', '0', '0', '0', '0']; ;4
10;1.1.1.2.5;con;Governments have taken admirable steps toward positive social change even when public opinion was unfavorable.;['0', '0', '0', '0', '0']; 3;4
11;1.1.1.2.5.1;pro;To help resolve the Mexican peso crisis, President Clinton loaned their neighbor country 20 billion USD. Although this move was met with sharp criticism and disapproval, the outcomes were positive for both the parties involved.;['0', '0', '0', '0', '0']; ;5
12;1.1.1.2.5.2;pro;The racial desegregation of schools was undertaken by the government despite brisk opposition from the public.;['0', '0', '0', '0', '0']; ;5
