;Level;Stance;Claim;Votes
0;1;None;"   19
Pregnant people should have the right to choose abortion.";['64', '17', '9', '18', '170']
1;1.1;pro;The ability of people to access abortion services, and have control over their own reproduction, is fundamental to achieving gender equality.;['46', '4', '11', '16', '30']
2;1.0;pro;Society is better off if women only have the children they want and can raise well.;['2', '2', '1', '5', '4']
3;1.0;pro;There is evidence to suggest that the Roe v. Wade decision to legalize abortion in 1978 was responsible for the dramatic decrease in violent crime the United States experienced through at least 1999 (p. 414).;['0', '1', '0', '1', '1']
4;1.0;pro;Five US states legalised abortion three years before Roe v. Wade. Crime started falling three years earlier in these states, with property crime (committed by younger people) falling before violent crime.;['1', '2', '1', '1', '2']
5;1.0;pro;There is evidence from Canada, Australia, and Romania that also supports the hypothesis that abortion reduces crime.;['1', '0', '1', '1', '3']
6;1.0;con;The ends do not justify the means. Using an immoral act (abortion) to justify a good (improved crime rates) is unethical.;['1', '1', '0', '1', '0']
7;1.0;pro;Abortion can help prevent the numerous financial issues that come from having an unplanned pregnancy.;['1', '1', '1', '0', '1']
8;1.0;pro;Many women who become pregnant are still in high school and are forced to drop out.;['1', '0', '2', '1', '0']
9;1.0;pro;When women cannot afford to raise their children they are forced to go on welfare, which is a cost to everyone.;['1', '0', '1', '1', '1']
10;1.0;pro;Women who are denied abortions and instead give birth are 3.77 times more likely to be in poverty and 6.26 times more likely to be on public assistance 6 months after denial than women who received abortions. They are also more likely to be in poverty and remain on public assistance for 4 years after denial of abortion (pp. 411-412).;['1', '0', '2', '0', '1']
11;1.0;con;A case could be made that it would be better to have our tax dollars contributed to welfare, than have that same money be contributed to abortion.;['1', '2', '0', '0', '1']
12;1.0;con;Society is best when we look out for others. Supporting people who need it through welfare is not necessarily a bad thing.;['1', '1', '1', '0', '2']
13;1.0;pro;Even if women are out of high school, unwanted pregnancy can force them to leave their jobs, furthering inequality in the workforce.;['1', '0', '1', '1', '1']
14;1.0;pro;Women often have to sacrifice their careers for childbearing and child-rearing which is not the case with men.;['0', '0', '2', '0', '0']
15;1.0;pro;Studies suggest that among men with equivalent resumes, fathers are more likely to receive call-backs and higher wage offers than are childless men.;['1', '0', '1', '1', '2']
16;1.0;pro;Pregnancy and motherhood have a substantial impact on a woman’s career.;['1', '0', '0', '2', '3']
17;1.0;pro;"Once women return to work after giving birth, many women face a ""motherhood wage penalty,” especially at the bottom of the income spectrum. This means that working mothers encounter systematic disadvantages in pay, perceived competence, and benefits relative to childless women.";['1', '0', '2', '0', '2']
18;1.0;pro;Mothers may trade higher wages for “mother-friendly” jobs that are easier to combine with parenting (p. 204).;['0', '0', '2', '0', '1']
19;1.0;pro;"The work-effort theory suggests mothers may earn less because they are less productive at work due to the needs of their children leaving them exhausted and distracted, or because they are saving their energy for their ""second shift"".";['1', '0', '2', '0', '1']
20;1.0;pro;A study at Cornell University shows that being a mother is proven to be a clear disadvantage when applying for jobs.;['1', '0', '2', '0', '0']
21;1.0;pro;When a similar experiment was reproduced in laboratory settings, mothers were offered salaries of around $11,000 less than women without children. Fathers were offered salaries of around $2,000 more. (p. 1316);['1', '0', '2', '1', '0']
