,Level,Stance,Claim,Votes,Comments,Depth
0,1,None,"The God of classical monotheism (omniscient, omnipotent, and omnibenevolent mind) exists.","['6', '0', '0', '0', '2']",,0
1,1.1,pro,Kialo discurssion:     God exists.,"['0', '0', '0', '0', '0']", ,1
2,1.2,pro,There are sound arguments for God.,"['2', '1', '0', '0', '1']", 2,1
3,1.2.1,pro,God is the best explanation for the beginning of the Universe.,"['1', '1', '0', '0', '2']", ,2
4,1.2.1.1,pro,"Al-Ghazali’s Argument (Kalam Cosmological Argument by Dr. William Ln. Craig)

1. Whatever begins to exist has a cause. 
2. The universe began to exist. 
3. Therefore, the universe has a cause. 

This cause must be a transcendent, uncaused, immaterial, nonphysical, and unimaginably powerful, personal being.

Universe is defined as all space-time reality.","['0', '0', '0', '0', '0']", 6,3
5,1.2.1.1.1,pro,P2. There is strong scientific evidence for the beginning of the universe.,"['4', '1', '2', '1', '4']", ,4
6,1.2.1.1.1.1,pro,"The second law of thermodynamics indicates that, given enough time, the universe will inevitably stagnate in a state of heat death. If the universe existed from eternity past, it should already be in a state of heat death.","['1', '1', '0', '0', '2']", ,5
7,1.2.1.1.1.1.1,con,Heat Death is not death of a Universe.,"['1', '0', '0', '0', '0']", ,6
8,1.2.1.1.1.1.1.1,con,"It is true that heat death is not death of a universe. However, this is irrelevant to, “we would expect the universe in the present to already be in a state of heat death.”","['0', '0', '0', '0', '0']", ,7
9,1.2.1.1.1.1.2,con,"Time is a dimension, but the laws of physics are time symmetric. The arrow of time emerges from thermodynamics--it is not fundamental. It may have reversed in the past at a Janus point. Thus, the ""past"" events can be potentially infinite just like future events can.","['0', '0', '0', '0', '1']", 6,6
10,1.2.1.1.1.1.2.1,pro,"""in a universe with an 'infinite developable phase space' the maximum possible entropy is infinite, and therefore any entropy you start with is a low entropy"" --Alan Guth","['0', '0', '0', '0', '0']", ,7
11,1.2.1.1.1.1.2.2,con,"Entropy increase is not to be identified with the direction of time. It is merely a physical measure of time. But time is a metaphysical reality that can exist quite independently of any clocks or physical measures of it. So at the very most, the direction of entropy increase can serve as a measure of time but it is not time itself.","['0', '1', '0', '0', '0']", ,7
12,1.2.1.1.1.1.2.2.1,con,Physicists have made equations by combining quantum mechanics and general relativity resulting in a system that is stationary (the time parameter is not  involved). They then theorized that to an outside observer the universe would be static. To an internal observer quantum entanglement would result in correlation based change where time is an emergent property. In 2013 an experiment was done that supported this model. Further info. This would undermine the notion of time the parent relies on.,"['0', '1', '0', '0', '0']", 2,8
13,1.2.1.1.1.1.2.3,con,"This would not be an example of an eternal universe because the mirror universe on the other side of the time reversal point is in no sense our past. That is a different universe with a different arrow of time. It is in no sense an earlier stage of our universe. Rather it postulates a beginning of two universes without any sort of physical, material cause for such a thing because one of those universes is in no sense the cause of the other. They are unrelated temporally.","['0', '0', '0', '1', '0']", ,7
14,1.2.1.1.1.1.2.4,con,A parallel universe(s) stemming out from the same point does nothing to make our universe eternal in the past.,"['0', '0', '1', '0', '0']", ,7
15,1.2.1.1.1.1.3,con,There are good reasons to think that the eventual heat death of the universe would cause another big bang.,"['0', '0', '0', '1', '0']", ,6
16,1.2.1.1.1.2,pro,"Borde, Guth, and Vilenkin, were able to prove that any universe that has, on average, been expanding throughout its history cannot be infinite in the past but must have a past space-time boundary. This holds regardless of the physical description of the very early universe, which has been fertile ground for speculation because we can’t yet provide a physical description of the very early universe.","['1', '0', '0', '0', '1']", ,5
17,1.2.1.1.1.2.1,con,"That the Universe must have undergone a phase transition before inflation does not imply a beginning. And besides, the Borde-Guth-Vilenkin theorem does not account for quantum gravity, which physicists agree make such singularities impossible. Craig is deliberately misreading the science.","['1', '0', '0', '0', '1']", ,6
18,1.2.1.1.1.2.1.1,con,"Vilenkin states, ""All the evidence we have says that the universe had a beginning.""","['0', '0', '0', '0', '0']", ,7
19,1.2.1.1.1.2.1.2,con,"Vilenkin, in correspondence with William Craig to clear up an ethical matter between Craig and Lawrence Krauss following a debate between them, confirms Craig's understanding of his work.","['1', '0', '0', '0', '0']", 2,7
20,1.2.1.1.1.2.1.3,con,"Vilenkin states, ""On very small time and length scales, quantum fluctuations in the structure of spacetime could be so large that these classical concepts become totally inapplicable...But if the fluctuations are not so wild as to invalidate classical spacetime, the BGV theorem is immune to any possible modifications of Einstein's equations which may be caused by quantum effects.""","['0', '0', '0', '0', '0']", ,7
21,1.2.1.1.1.2.1.4,con,"Dr. Craig states, ""The issue is not quantum gravity but the reality of time and causation. This raises very fundamental questions about the nature of time, whether time is identical to the operationally defined quantities in physics or whether those quantities are, as I maintain, but measures of time, which exists independently of them. So long as the universe is expanding over time in the quantum gravity regime, the BGV theorem holds.""","['0', '0', '0', '0', '0']", ,7
22,1.2.1.1.1.3,pro,The standard Big Bang model predicts an absolute beginning of the universe,"['1', '0', '0', '0', '1']", ,5
23,1.2.1.1.1.3.1,pro,"Sir Arthur Eddington contemplating the beginning of the universe, opined that the expansion of the universe was so preposterous and incredible that “I feel almost an indignation that anyone should believe in it—except myself.” 
He concluded:
“The beginning seems to present insuperable difficulties unless we agree to look on it as frankly supernatural.”

Arthur Eddington, The Expanding Universe (New York: Macmillan, 1933), 124.","['2', '0', '1', '0', '0']", ,6
24,1.2.1.1.1.3.1.1,con,The laws of nature and the history of the universe are not constrained by the subjective feelings of Sir Arthur Eddington.,"['0', '0', '0', '0', '0']", ,7
25,1.2.1.1.1.3.2,pro,We can extrapolate backwards from the Big Bang that there was a cosmological singularity in which physical reasoning - spacetime itself - did not exist: the absolute beginning of the universe.,"['0', '1', '0', '0', '1']", 8,6
26,1.2.1.1.1.3.3,pro,"Physicists have proposed scores of alternative models over the decades since Friedman and Lemaitre’s work (the standard model), and those that do not have an absolute beginning have been repeatedly shown to be unworkable. The only viable nonstandard models are those that involve an absolute beginning to the universe.","['0', '0', '0', '0', '0']", 2,6
27,1.2.1.1.1.3.3.1,pro,"The Steady State Model of the universe fails to avoid an absolute beginning. 

Model description: According to this theory, the universe is in a state of cosmic expansion, but as the galaxies recede, new matter is drawn into being ex nihilo in the voids created by the galactic recession.","['0', '0', '0', '0', '0']", ,7
28,1.2.1.1.1.3.3.1.1,pro,"The decisive refutation of the Steady State Model came with two discoveries which constituted, in addition to the galactic red-shift, the most significant evidence for the Big Bang theory: the primordial nucleosynthesis of the light elements and the microwave background radiation.","['0', '0', '0', '0', '0']", ,8
29,1.2.1.1.1.3.3.1.1.1,pro,"Although the heavy elements were synthesized in the stars, stellar nucleosynthesis could not manufacture the abundant light elements such as helium and deuterium. These could only have been created in the extreme conditions present in the first moment of the Big Bang.","['0', '0', '0', '0', '0']", ,9
30,1.2.1.1.1.3.3.1.2,pro,"The Steady State theory never secured a single piece of experimental verification; its appeal was purely metaphysical. Instead, observational astronomy made it increasingly evident that the universe had an evolutionary history.","['0', '0', '0', '0', '0']", ,8
31,1.2.1.1.1.3.3.2,pro,Cylic or oscillating models fail to avoid an absolute beginning of the universe.,"['0', '0', '0', '0', '0']", ,7
32,1.2.1.1.1.3.3.2.1,pro,No known physics would cause a collapsing universe to bounce back to re-expansion.,"['0', '0', '0', '0', '0']", ,8
33,1.2.1.1.1.3.3.2.2,pro,No space-time trajectory can be extended through a singularity.,"['0', '0', '0', '0', '0']", ,8
34,1.2.1.1.1.3.3.2.3,pro,Attempts to discover the mass density sufficient to generate the gravitational attraction sufficient to halt the universe have come up short.,"['0', '0', '0', '0', '0']", ,8
35,1.2.1.1.1.3.3.3,con,The Ekpyrotic universe is a model of the origin of the universe which explains the big bang in the context of string theory. This model also has an extension which is a cyclical version of it.,"['0', '0', '0', '0', '0']", ,7
36,1.2.1.1.1.3.3.4,con,"The lack of viable models of the universe without an absolute beginning are irrelevant, because extrapolating the Friedman equations (using relativity) necessarily fails because of the incompleteness of general relativity and the need for a model of quantum gravity. (See 'Our Mathematical Universe' chapter 4, by Max Tegmark)","['0', '0', '0', '0', '0']", ,7
37,1.2.1.1.1.3.3.5,con,Within string theory there is a proposed cyclical model of the universe which would have existed as a potentially infinite cycle. Newer cyclical models such as this one solve some of the problems with the earlier models.,"['0', '0', '0', '0', '0']", ,7
38,1.2.1.1.1.3.3.6,con,"One of the two most prominent theories of quantum gravity, Loop quantum gravity (the other being string theory) would have the universe be part of an infinite cycle of big bounces in which the universe is destroyed and created in a cycle.","['0', '0', '0', '0', '0']", ,7
39,1.2.1.1.1.3.4,con,In the timeline of astrophysics the big bang theory is our first baby tooth.,"['0', '0', '0', '0', '0']", ,6
40,1.2.1.1.1.3.5,con,There are alternative models without a beginning.,"['1', '0', '0', '0', '1']", ,6
41,1.2.1.1.1.3.6,con,"No it doesn't. The Big Bang model is about this history of the universe, not its ultimate origin. (Cosmology, not cosmogony.) The model starts from the earliest known periods of very high energy density. Periods before this remain a mystery because they require a theory of quantum gravity to make predictions. An ""absolute beginning"" is outside the domain of the model.","['0', '0', '0', '0', '2']", ,6
42,1.2.1.1.1.4,con,"P2: Einstein has proven that simultaneity depends on frame of reference. Thus, there can be no moment when ""the Universe began to exist"". Therefore, God need not exist.","['0', '0', '0', '0', '1']", ,5
43,1.2.1.1.1.4.1,pro,"There is no time before universe, so universe existed always, all the time. ""Before universe"" is logical nonsense, if we consider universe as a spacetime.","['0', '0', '0', '0', '0']", ,6
44,1.2.1.1.1.4.2,pro,"Craig and other proponents of Kalam have had to reject Einstein altogether, in favor of a Lorentzian form of relativity in which there is a privileged frame of reference. This theory is not accepted by a consensus of cosmologists. It is also far more complex than Einstein, while being experimentally identical, and is thus precluded by Occam's Razor. Craig's only answer to this is that Occam notwithstanding, God requires a privileged frame. So Kalam is ultimately circular.","['0', '0', '0', '0', '0']", ,6
45,1.2.1.1.1.4.6,con,"This is a strawman fallacy, because it was never claimed that the beginning was in a moment. The beginning is thought of as a the beginning of a causal chain, not a timeline.","['1', '0', '1', '0', '0']", ,6
46,1.2.1.1.1.5,con,"""Universe"" here is poorly defined.
There may be elements considered part of the universe, but that exist necessarily and not contingently on the universe e.g. The Laws of Nature.
If true, the laws of nature do not have a beginning.
Whether that means the universe wouldn't have a beginning is debatable.","['0', '0', '1', '0', '0']", ,5
47,1.2.1.1.1.5.1,con,The universe is all space-time reality.,"['0', '0', '0', '0', '0']", ,6
48,1.2.1.1.1.5.1.1,con,"Something that does not exist somewhere (spatial), does not exist anywhere.","['0', '0', '0', '0', '0']", ,7
49,1.2.1.1.1.5.1.1.1,con,Physicalism is false.,"['0', '0', '0', '0', '0']", ,8
50,1.2.1.1.1.5.1.1.1.1,pro,"Billions of people across time and physical locations have claimed to have an experience involving the spiritual world. This, at bare minimum, makes it possible that immaterial entities exist.","['0', '0', '0', '0', '0']", 7,9
51,1.2.1.1.1.5.1.1.1.1.1,pro,"For atheism to be true, every testified miracle and every personal spiritual experience (whether good or bad) in the history of the world has to be false. This requires significant faith.","['0', '0', '0', '0', '0']", ,10
52,1.2.1.1.1.5.1.1.1.1.1.1,con,"That's not how evidence works. It's not enough that the evidence be consistent with the hypothesis. To count, it has to be MORE consistent with the hypothesis than its converse.

For every testified miracle and every personal experience, ""Poof, magic!"" is a far more probable explanation than ""goddidit"", since it is much less specific. And natural explanations are far more probable than that.","['0', '0', '0', '0', '2']", ,11
53,1.2.1.1.1.5.1.1.1.1.1.1.1,pro,Science does not reject the supernatural a priori. That follows from the evidence.,"['0', '0', '0', '0', '1']", 2,12
54,1.2.1.1.1.5.1.1.1.1.1.1.1.1,pro,There are many examples of science disproving supernatural explanations and religious propositions.,"['0', '0', '0', '0', '0']", ,13
55,1.2.1.1.1.5.1.1.1.1.1.1.1.1.1,pro,Homeopathy has been debunked by science.,"['0', '0', '0', '0', '0']", ,14
56,1.2.1.1.1.5.1.1.1.1.1.1.1.1.2,pro,"Substance dualism implies both telekinesis/mind over matter, because the mental substance must affect the material of the body, and extrasensory perception (ESP) because the material must directly affect the mental substance. But the existence of PSI phenomena has been tested and rejected by science.","['0', '0', '0', '0', '0']", 1,14
57,1.2.1.1.1.5.1.1.1.1.1.1.1.1.2.1,pro,"The One Million Dollar Paranormal Challenge Prize was never claimed, not that that stopped people from trying. In worlds where PSI phenomena exist, it's more likely someone would have claimed it. By conservation of expected evidence, the fact that no-one did is evidence that PSI phenomena do not exist.","['0', '0', '0', '0', '0']", ,15
