,Level,Stance,Claim,Votes,Comments,Depth
0,1,None,Religion has been a good thing for humankind.,"['135', '80', '47', '35', '83']",,0
1,1.1,pro,Most of today's cultures and remaining world heritage are due to religions.,"['31', '23', '21', '19', '45']", 3,1
2,1.1.1,pro,"Religion was a necessary step to reach structured thought and rationality. The scientific method is only a young, although emergent, leaf in the evolutionary tree of belief systems.","['5', '4', '1', '2', '3']", 1,2
3,1.1.1.1,pro,"James Kennedy and Jerry Newcombe argue that science has its roots in Christianity. Because it is based on the notion that there exists a rational God who is the source of rational truth. This, they argue, gave rise to the possibility of scientific laws.","['1', '0', '0', '0', '1']", 1,3
4,1.1.1.1.1,pro,"Nearly all the founders of modern science were Christians. These include men such as Kepler, Boyle, Pascal, Pasteur, Newton, etc.","['0', '0', '0', '0', '0']", 1,4
5,1.1.1.1.1.1,con,"Christianity only tolerated their scientific work on the premise that it did not conflict Christianity. The moment they discovered or hypothesized anything contrary to Christian doctrine, religious authorities would do pretty much anything to step in the way of their ability to do science.","['0', '0', '0', '0', '0']", 1,5
6,1.1.1.1.1.2,con,Without illustrating that Christianity specifically motivated and provoked their pursuit of science and rationality simply listing founding scientists who happen to be Christians is not evidence for anything.,"['0', '0', '0', '0', '2']", 6,5
7,1.1.1.1.1.3,con,"Also, nearly all of them, included the ones listed, were white and male. Following this logic would imply that being white, male and religious makes you a good scientist.","['0', '0', '0', '1', '0']", ,5
8,1.1.1.1.2,con,"Despite  previous connections between religion and thought in the Middle Ages, the birth of modern philosophy in the West comes from the total separation of faith and reason.","['0', '1', '0', '0', '1']", ,4
9,1.1.1.1.2.1,pro,Enlightenment philosophers considered that the Church's doctrines were “superstitious” and had “hindered the progress of civilization”.,"['0', '0', '0', '1', '0']", ,5
10,1.1.1.1.3,con,Rationalism long predates Christianity. Philosophical and scientific inquiry began long before Christianity.,"['0', '0', '0', '0', '2']", ,4
11,1.1.1.1.3.1,pro,"Considering the big influence from Hellenistic and Roman Philosophy (Socrates, Plato and Aristotle) in Medieval Christian thinkers, it is arguably that non-religious philosophers from Ancient times were actually more seminal to Western philosophy than those applying Christian doctrines to previously constructed theories.","['0', '0', '0', '0', '0']", ,5
12,1.1.1.2,pro,"For example, ""the Christian doctrine of creation may have encouraged science by assuming that creation (being the product of a designer) is both intelligible and orderly, so one can expect there are laws that can be discovered"".","['0', '0', '0', '0', '0']", ,3
13,1.1.1.3,pro,"Regrouping behind common archetypal ideals increases coordination, cooperation and chances for survival and reproduction.","['0', '0', '0', '0', '1']", ,3
14,1.1.1.3.1,con,"Religion fragments the commonality of each state and other organisations to those who are of the religion and those who are not, thus reducing coordination and cooperation. For instance there are multiple examples of religious groups not cooperating with local law enforcement or defying local law, which has been known to result in loss of life or liberty.","['0', '0', '0', '0', '1']", 1,4
15,1.1.1.4,pro,"Religion is the first evolutionary stage of knowledge development, from religion to philosophy (second stage) and science (third stage), accordingly to Comte's Law of Three Stages.","['0', '0', '0', '0', '0']", 4,3
16,1.1.1.4.1,con,"Comte presented the scientific stage as the final state, which would allow human knowledge to be perfected, leading to human progress. Thus religion becomes anachronism and, since the sciences are well established, it's been inertia for some time.","['0', '0', '0', '0', '0']", ,4
17,1.1.1.5,pro,"In humanity's infancy, it has allowed people to be anthropocentric which let people advance in all ways. Principally, it allowed people to focus on means and ends that are for humanity in general.","['0', '0', '0', '0', '0']", 4,3
18,1.1.1.6,pro,"Religion has been helpful in leading us to science as a means to understand the world around us. At any given point in time religion has filled in the gaps of knowledge we have, leading us to innovation that brightens those dark spots. As we build the means to see and understand those gaps, science takes over, but religious belief allowed us to survive and evolve enough to replace superstition with demonstrable truth.","['2', '1', '1', '0', '2']", 1,3
19,1.1.1.6.1,con,There is no evidence to suggest that those gaps being filled with place holders and superstitions was necessary for our survival and evolution.,"['1', '0', '0', '1', '4']", ,4
20,1.1.1.6.2,con,Religions historically have claimed to already know the answers to questions science asks. Filling in the gaps with unsupported claims does not encourage inquiry because it thinks it already has the answers.,"['0', '1', '0', '0', '6']", ,4
21,1.1.1.6.2.1,pro,Many people who dared to defy given answers were burnt as heretics.,"['0', '0', '0', '0', '0']", ,5
22,1.1.1.6.2.2,pro,"The big religions are based on revelation, not exploration. If one believes that the most important information in the world already has been written, it tends to cause less curiosity about science and the world as we see it today.","['0', '0', '0', '0', '0']", ,5
23,1.1.1.6.2.2.1,pro,Belief is unfounded assumption. Assume one false thing and any false thing can be proved true. Thus it undermines our rationality.,"['0', '0', '0', '1', '0']", 1,6
24,1.1.1.6.2.2.1.1,con,"Much of what we use to navigate the world is based on unfounded assumptions, belief is in no way unique.","['0', '1', '0', '0', '0']", 16,7
25,1.1.1.6.2.2.1.1.1,pro,People may choose certain foods because they think they are healthier without going through the process of verifying it.,"['0', '1', '0', '0', '0']", ,8
26,1.1.1.6.2.2.1.1.1.1,con,It is very easy to verify whether a food is healthy or not by looking at the nutritional information. That people do not do so is bad.,"['1', '0', '0', '0', '0']", ,9
27,1.1.1.6.2.2.1.1.2,pro,"Cognitive fluency,  a “subjective experience of the ease or difficulty of completing a mental task”, also makes people believe things or like them because those things feel familiar, are well-expressed and in tune with their own expectations. This could explain why self-assuring religious myths are easier to believe regardless of factual information.","['0', '0', '0', '0', '1']", ,8
28,1.1.1.6.2.2.1.1.3,pro,"People assume a certain street or route may be less dangerous or assume someone may intend harm and avoid that person or place, even if those beliefs are not founded or verified.","['0', '1', '0', '0', '0']", ,8
29,1.1.1.6.2.2.1.1.4,pro,"People are willing to believe that a politician will bring jobs and vote for him or her, even if they have not verified it.","['0', '0', '1', '0', '0']", ,8
30,1.1.1.6.2.2.1.1.4.1,con,Believing that a politician will bring jobs is typically a verifiable claim and that people do not verify it is indeed a bad thing.,"['0', '1', '0', '0', '0']", ,9
31,1.1.1.6.2.2.1.1.4.1.1,con,Not every politician has a history that shows success or failure at creating jobs.,"['0', '0', '0', '1', '0']", ,10
32,1.1.1.6.2.2.1.1.5,pro,"Human cognitive process tend to rely on intuition rather than analysis to save energy. Therefore, if ideas come from familiar sources, other people believe them and align with our own beliefs and are good in terms of storytelling, we may tend believe them, even if proper scrutiny would render them false.","['0', '0', '0', '1', '0']", ,8
33,1.1.1.6.2.2.1.1.5.1,pro,"Humans have evolved to deal with information in two different ways: in a fast, automatic and intuitive process and in a slow, analytical and rational way. As we tend to have a positivity bias (we assume people act honestly) and a confirmation bias (we tend to believe what fits our views), the first way is often used and while good in ancestral small groups, it can also be dangerous, especially in bigger and more developed societies.","['0', '0', '0', '0', '0']", ,9
34,1.1.1.6.2.2.1.1.6,con,The fact that it is difficult to live without making unfounded assumptions doesn't mean that any particular unfounded assumption is a good thing.,"['0', '0', '0', '0', '1']", ,8
35,1.1.1.6.2.2.1.1.6.1,pro,Unfounded assumptions come with varying degrees of unfoundedness and consequence. The higher the unfoundedness and the consequence the less sound is the assumption.,"['0', '0', '0', '0', '1']", 1,9
36,1.1.1.6.2.2.1.1.6.1.1,pro,"Religions often present what appears to be a lot of foundation, an entire book and other items. However they usually also request a lot of unfounded assumptions and the consequences of making the unfounded assumptions are often substantial.","['0', '0', '0', '0', '1']", ,10
37,1.1.1.6.2.2.1.1.6.1.1.1,pro,"Most religions use the you-have-nothing-to-lose-by-believing argument. Of course you do: There's your time, your independence, your objectivity, and your cash.","['0', '0', '1', '0', '0']", ,11
38,1.1.1.6.2.2.1.1.6.1.1.1.1,pro,If one is believing in religion purely because they have nothing to lose or to hedge bets then it is not a genuine belief and one loses their intellectual integrity. At the same time an omniscient deity would surely know that the belief is not genuine.,"['0', '0', '0', '0', '0']", ,12
39,1.1.1.6.2.2.1.1.6.1.1.1.2,pro,Once you make unfounded assumptions that are relevant to your decisions/opinions your ability to make those decisions or draw conclusions objectively is at risk.,"['0', '0', '0', '1', '0']", ,12
40,1.1.1.6.2.2.1.1.6.1.1.1.3,pro,"Much social power, over the religious and/or to speak or act on their behalf, is ceded to religious leaders.","['0', '0', '0', '1', '0']", ,12
41,1.1.1.6.2.2.1.1.6.1.1.1.4,pro,"Some part of donations to the church may result in charitable work that the giver would otherwise make through different means. However, the efficiency will suffer from overheads: for instance the livelihood of a preacher and his boss, and his boss's boss etc, and the buildings they work and live in, their private jets, the adverts, pomp, and the expensive art that adorns their window-frames, walls, ceilings or vaults, and legal fees.","['0', '0', '0', '0', '0']", 2,12
42,1.1.1.6.2.2.1.1.6.1.1.1.4.1,pro,"Many religious institutions exist mainly for financial gain, and some are corrupt.","['0', '0', '0', '0', '0']", 11,13
43,1.1.1.6.2.2.1.1.6.1.1.1.5,pro,"Much time is spent praying. Though many say their prayers are answered, evidence of a causal link between their prayers and the outcome that occurred is lacking.","['0', '0', '0', '0', '1']", ,12
