,Level,Stance,Claim,Votes,Comments,Depth
0,1,None,People should not follow any specific religion.,"['19', '3', '4', '7', '63']",,0
1,1.1,pro,The religion (if any) that lets them be happiest w/o being immoral,"['0', '0', '0', '0', '0']", 2,1
2,1.1.1,con,"This assumes a moral system independent of religion, that says happiness is good and can judge whether people are immoral. Such a position is difficult to specify without some religious claims, e.g. ""morality stems from God"" vs ""morality is independent of God"".","['0', '0', '0', '0', '0']", 7,2
3,1.2,pro,Religion has had a net negative impact on humanity.,"['0', '1', '0', '0', '0']", 2,1
4,1.2.1,pro,Religious institutions enable child abuse.,"['0', '0', '0', '0', '0']", ,2
5,1.2.2,pro,Homophobia is largely the product of religious bigotry worldwide.,"['0', '0', '0', '0', '0']", ,2
6,1.2.3,pro,Religion has slowed technological progress for all mankind.,"['0', '0', '0', '0', '0']", 1,2
7,1.2.4,pro,Religion makes people sexist.,"['0', '0', '0', '0', '0']", ,2
8,1.2.4.1,pro,Many of the teachings of the Bible are damaging to women.,"['0', '0', '0', '0', '0']", ,3
9,1.2.4.1.1,pro,The Bible teaches that women on their period are unclean and should be ostracised.,"['0', '0', '0', '0', '0']", ,4
10,1.2.4.1.1.1,con,"In this verse ""unclean"" is meant in a ceremonial sense and doesn't have moral implications.","['0', '0', '0', '0', '0']", ,5
11,1.2.4.1.1.2,con,"Similar standards are applied to men. For instance, when a man has an ""emission of semen"" he is also unclean (Leviticus 15:16).","['0', '0', '0', '0', '0']", 1,5
12,1.2.5,con,"In general, religious people seem to function in society at least as good as non-religious people.","['0', '0', '0', '0', '0']", 1,2
13,1.3,pro,"One might follow any particular religion and achieve the same benefits, given that their teachings point to the same fundamental source, however slight the difference in terminology may be.","['3', '0', '0', '1', '1']", 14,1
14,1.3.1,pro,"Religion at its purest state is a transcendent endeavor which, in many different ways, gives a sense of purpose and meaning to the individual.","['0', '0', '0', '0', '0']", ,2
15,1.3.1.1,con,"Nobody can honestly declare that they know what the ""purest state"" of all religions is. There are too many of them, and they are too diverse, not to mention that most of them are lost to history, so we can't even evaluate how they fit into this particular mold.","['0', '0', '0', '0', '0']", ,3
16,1.3.2,pro,"All religions which stress a connection with the spiritual world will, if fully comprehended, be beneficial to the individual.","['0', '0', '0', '0', '0']", 3,2
17,1.3.3,pro,"According to the Bahá'í faith the major religions are fundamentally unified in purpose, though varied in social practices and interpretations.","['0', '0', '0', '0', '0']", ,2
18,1.4,pro,"Religions are dogmatic that makes them conservative and unable to keep with progressing civilisation. Religious ""truths"" are often outdated.","['2', '1', '0', '0', '2']", 5,1
19,1.4.1,pro,Many religions promote a patriarchal view of the world that is incompatible with the equality agenda of many modern societies.,"['0', '0', '0', '0', '0']", ,2
20,1.4.2,con,"Facts do not become outdated. If God does or does not exist, the same was true 10,000 years ago, and remains unimpacted by human progress.","['0', '0', '0', '0', '0']", 7,2
21,1.5,pro,It is very unlikely that any god or gods that came to Earth would resemble the gods depicted in our religions.,"['2', '0', '0', '0', '2']", 6,1
22,1.5.1,con,"Gods are defined by religion. To say that religions incorrectly describe what gods are really like, is like saying that fantasy fiction incorrectly describes what dragons are really like.","['0', '0', '0', '0', '0']", ,2
23,1.6,pro,Each person is different and each of us need a different mindset and belief system to cope with reality.,"['2', '0', '0', '0', '2']", ,1
24,1.6.1,pro,"People of integrity will figure out what they believe, and call it by the most accurately descriptive name they can think of. If there are no others in the same category, that should not be allowed to influence what they believe.","['0', '0', '1', '0', '0']", 3,2
25,1.6.2,con,"Having false beliefs about reality is itself a failure to cope with reality. One should choose what to believe based on what is true, not based on what is most pleasant to believe.","['0', '0', '0', '1', '1']", ,2
26,1.6.3,con,People are only different to the extent that their beliefs are different.,"['1', '1', '0', '0', '0']", 1,2
27,1.6.4,con,"Since reality is the same, the beliefs should also be the same.","['0', '0', '0', '1', '0']", ,2
28,1.7,pro,"People should act based on reason, not beliefs.","['2', '0', '0', '0', '2']", 29,1
29,1.7.1,pro,Colonialization was exacerbated by religion. en.wikipedia.org chronicle.co.zw,"['2', '0', '0', '0', '2']", ,2
30,1.7.2,pro,"Kialo discurssion:     Morality precedes religion. Therefore, religion is not necessary for determining right from wrong.","['1', '0', '0', '0', '1']", ,2
31,1.7.3,pro,Religion can cause mental trauma in children. Religious abuse against children,"['1', '1', '0', '0', '2']", ,2
32,1.7.4,pro,Belief systems can cause the persecution of innocents. E.g. Persecution of people with albinism,"['0', '1', '1', '0', '1']", ,2
33,1.7.5,pro,Belief systems can be a threat to health. E.g.Anti-vaccination movement or Condom controversy,"['0', '2', '0', '0', '1']", ,2
34,1.7.6,con,The rationale for morality seems lacking in a system with no authority or objective standard.,"['1', '0', '0', '0', '0']", 6,2
35,1.7.6.1,pro,"If there is no ultimate being that defines morality then there is no meaning to moral actions, no source or rationale that grounds goodness or badness.","['3', '0', '0', '0', '2']", ,3
36,1.7.6.1.1,con,"There is no property of 'ultimate' that imbues meaning, nor is there any indication that a lack of 'ultimate' is incapable of assigning meaning or value to actions. This is a theological talking point that is entirely unsupported by anything.","['0', '0', '0', '0', '2']", ,4
37,1.7.6.1.2,con,"To base personal morality on the demands of an authority figure REMOVES all meaning from moral actions. If one does not murder because it will cause pain to that persons family and friends, or because they will feel bad about terminating the life of a potentially valuable member of society, that has social and personal meaning. If one does not murder because it is against the rules, that is simply a fear-based action with no perspective, and is devoid of meaning.","['0', '0', '1', '0', '2']", ,4
38,1.7.6.1.3,con,"If some ""ultimate being"" claims to define morality, their definition is merely that being's subjective opinion. Whether the ""ultimate being"" in question is a delusional autocrat or some entity with real magic powers makes no difference to that fact.","['0', '0', '0', '0', '3']", ,4
39,1.7.6.2,pro,"Atheism has poorer explanations about many important aspects of life, including morality and beauty, than theism.","['1', '0', '0', '0', '1']", 1,3
40,1.7.6.2.1,pro,"There is no empirical means of determining morality without first adding an un-empirical assertion. Therefore, either the un-scientific religion of philosophy or another religion must be employed to provide these un-empirical assertions.","['0', '0', '0', '0', '0']", 4,4
41,1.7.6.2.1.1,pro,Religion provides a unified standard basis for ethical consideration.,"['0', '0', '0', '0', '0']", ,5
42,1.7.6.2.1.1.1,pro,Kialo discurssion:     We need religion for morality.,"['0', '0', '0', '0', '0']", ,6
43,1.7.6.2.1.1.2,con,"Even if it is unified, it has numerous other deficiencies that make it unacceptable as a basis for morality.","['0', '0', '0', '0', '0']", ,6
44,1.7.6.2.1.2,con,Atheism makes no claims on morality.,"['0', '0', '0', '0', '1']", ,5
45,1.7.6.2.1.2.1,con,"Atheism claims that truth is better than falsehood, or else it wouldn’t argue that the idea of God is false.","['0', '0', '0', '0', '0']", ,6
46,1.7.6.2.1.2.1.1,con,"But the same reasoning, any claim (to claim something is the same as claiming it is true) whatsoever would be implicitly a claim that truth is better than falsehood.","['0', '0', '0', '0', '0']", ,7
47,1.7.6.2.1.2.1.2,con,Atheism per se does not claim or entail this.,"['0', '0', '0', '0', '0']", ,7
48,1.7.6.2.1.2.1.3,con,"Atheism at its core is simply the claim that God does not exist - not any arguments atheists may make for the truth of that claim. Hence, it does not argue that He does not exist, and more generally does not claim that truth is better than falsehood.","['0', '0', '0', '0', '0']", 5,7
49,1.7.6.2.1.2.1.3.1,con,"Implicit in the act of making a claim, which is ""to assert as a fact,"" is the assumption that truth (the fact) is better than falsehood.","['0', '0', '0', '0', '0']", ,8
50,1.7.6.2.1.2.1.3.1.1,pro,"A fact can be defined as ""truth"".","['0', '0', '0', '0', '0']", ,9
51,1.7.6.2.1.2.1.3.1.2,con,"This would imply that the statement ""falsehood is better than truth"" is logically incoherent, yet it appears to be a meaningful claim.","['0', '0', '0', '0', '0']", ,9
52,1.7.6.2.1.2.1.3.1.2.1,con,"Certainly, saying “falsehood is better than truth” is a self-refuting claim if not expounded on. By itself, it asserts to say something true while denying truth. It is therefore devoid of meaning. It is like saying “words do not exist”.","['0', '0', '0', '0', '0']", ,10
53,1.7.6.2.1.2.1.3.1.2.1.1,pro,"Someone might also say “truth is no better than falsehood”. They would be claiming meaninglessness, as it would be no better to know or say something true or false. And their statement would therefore lack meaning, since everything lacks meaning.","['0', '0', '0', '0', '0']", ,11
54,1.7.6.2.1.2.1.3.1.2.1.2,pro,Someone could say “deceiving your enemy is better than revealing the truth”. Or “it is more helpful to withhold the truth from that stressed-out person at this time”. But both of those statements acknowledge truth in general- they assert that some truths (beating the enemy or minimizing anxiety) are very important.,"['0', '0', '0', '0', '0']", ,11
55,1.7.6.2.1.2.1.3.1.2.1.3,pro,Someone could say “being so concerned with finding the truth about *a given topic* (such as someone’s true opinion about you) is unhelpful”. But this statement doesn't deny the existence of truth and the overall benefit of knowing and speaking truth about most things like the blanket statement “falsehood is better than truth”. The former statement actually admits some beneficial truth: namely that being obsessed over something minor is unhealthy.,"['0', '0', '0', '0', '0']", ,11
56,1.7.6.2.1.2.1.3.1.2.1.4,pro,"Anyone who believed ""falsehood is better than truth"" would not believe it if it were true, as they would consider falsehoods better (and hence preferable) to truths. Thus, it it were true and they believed it, they would be led to reject it.","['0', '0', '0', '0', '0']", ,11
57,1.7.6.2.1.2.1.3.1.2.1.5,con,"If falsehood were indeed better than truth, then claiming ""falsehood is better than truth"" would be a true claim, although it might thereby be a ""bad"" claim by whatever measure of better/worse is meant. Hence, it is meaningful and not self-refuting.","['0', '0', '0', '0', '0']", ,11
58,1.7.6.2.1.3,con,Kialo discurssion:     Morality is objective.,"['0', '0', '1', '0', '0']", ,5
59,1.7.6.2.2,pro,"One atheistic view of morality is that it is an evolved social construct. As such, it is liable to change, perhaps even disappear. Many theistic views of morality, such as Christianity's teachings of love, are profound enough to be flexible for cultural differences, but are rooted in an unchanging and objective source - God, and are not at risk of fading away.","['4', '0', '0', '0', '2']", ,4
60,1.7.6.2.2.1,con,"This argument assumes that the existence of morality in itself has value. As a human social construct, morality would not exist without humans. Under such circumstances, it would be meaningless to ascribe any negative value to its absence.","['2', '0', '0', '0', '2']", ,5
61,1.7.6.2.2.2,con,"If God does not in fact exist, then theistic views of morality are not rooted in an unchanging and objective source, but a fictional character. As such, they would be at least as likely of changing or disappearing, but would not have any explanation for how or why that could happen, making them worse explanations for morality.","['1', '0', '0', '0', '2']", ,5
62,1.7.6.2.3,con,"Seeking explanation through evidence, even if we have not discovered the explanation yet, is not a poorer explanation than making something up when you have no evidence.","['1', '0', '0', '0', '2']", ,4
63,1.7.6.2.4,con,"This is begging the question, because if God does not exist, which is atheism's central claim, then theistic explanations of morality and beauty are resting on a false premise and are very poor if not completely invalid.","['2', '0', '1', '0', '1']", 5,4
64,1.7.6.2.4.1,con,"The following, while oversimplified, is not begging the question: If there is moral objectivity, then there is a God. Universally, people get upset at unfairness, especially upon themselves, but also often when they see it happen to others. It seems like there is some moral objectivity. There likely is a God.","['0', '0', '0', '0', '1']", 4,5
65,1.7.6.2.4.1.1,pro,"If a more comprehensive argument for objective morality is made, then a logical argument using objective morality as proof for theism becomes powerful, so long as many of the arguments for objective morality appeal to evidence and not the concept of a god.","['0', '0', '0', '0', '1']", ,6
66,1.7.6.2.4.1.2,con,The fact that there are some 4000 religions in the world with differing claims on morality would be evidence that there is no such thing as objective morality.,"['1', '1', '0', '0', '0']", ,6
67,1.7.6.2.4.1.2.1,con,"Asserting that there’s no objective morality because there are many religions is like saying “the fact that there are many claims on what is true about cosmological origins must mean that objective truth does not exist”. Since objective truth is being assumed, that particular argument against objective morality may not, on its own, be conclusive.","['0', '0', '0', '0', '1']", 2,7
68,1.7.6.2.5,con,"The reason for atheism is not to give simple answers to all questions, but to get rid of false answers.","['2', '0', '0', '2', '2']", 1,4
69,1.7.6.2.5.1,con,"Theism's answers are not simple within its own framework. If God created everything, then the reason (God) is greater than those seeking the answers (people).","['1', '0', '0', '0', '2']", ,5
70,1.7.6.2.5.2,con,"For atheism to get rid of false answers, theism must be proven false. Theism has not been proven to be false.","['1', '0', '0', '0', '1']", ,5
71,1.7.6.2.5.3,con,"There are other methods of getting rid of false answers. Scientism, naturalism, materialism offer an actual framework. Atheism is merely a disbelief. It is not specific enough.","['1', '0', '0', '0', '1']", ,5
72,1.7.6.2.5.3.1,con,Materialism cannot deal with answers to questions as consciousness is required to ask questions.,"['0', '0', '0', '0', '0']", ,6
73,1.7.6.2.6,con,"Atheism, the lack of a belief in a deity, does not attempt to explain aspects of life other than if there is sufficient evidence to believe in a deity. This is akin to saying that Christianity has a poor explanation for how programming works.","['1', '0', '0', '0', '2']", ,4
74,1.7.6.2.6.1,con,"There is a moral component to insisting that people not believe if there is insufficient evidence. Because of this, atheism must deal with morality.","['0', '0', '0', '0', '1']", ,5
75,1.7.6.2.6.1.1,con,"Saying you shouldn't believe something without reasonable evidence does not contain any moral component. It is about logic. It is not about right and wrong, it is about reasonableness.","['1', '0', '0', '0', '0']", ,6
76,1.7.6.2.6.1.1.1,con,"""Evidence"" is a description, and can be objective. ""Shouldn't"" and ""Reasonable"" are value judgments, and subjective based on one's biases. Thus, while it's fair to say that the act of believing something or not has no moral component, to say that someone ""shouldn't"" believe something without ""reasonable"" evidence is a moral imperative.","['0', '0', '0', '0', '1']", ,7
77,1.7.6.2.6.1.1.2,con,"Humans tend to behave irrationally until educated, and it takes a lot of education to think rationally on a consistent basis. It may even be unfeasible. Asking people to train themselves for rational thinking on origins seems to have moral implications.","['0', '0', '0', '0', '1']", 5,7
78,1.7.6.2.6.1.1.2.1,pro,Truth vs a lie is a moral issue. People can arguably be just as happy not knowing the truth. We ask each other to care about the truth because lies are somehow wrong.,"['0', '0', '0', '0', '1']", ,8
79,1.7.6.3,pro,"Without an agreed upon system of morality, humans won’t be able to solve moral disputes, which is problematic when trying to create a functional society.","['0', '0', '0', '1', '0']", 6,3
80,1.7.6.3.2,pro,The fallibility of human beings will cause people to pick and choose what may ultimately be evil and wrong rather than what is true about the religion.,"['0', '0', '0', '0', '0']", ,4
81,1.7.6.3.2.1,con,It is impossible to choose one's morality as choice implies values and thus choice presupposes some value system.,"['0', '0', '0', '0', '0']", ,5
82,1.7.6.3.3,pro,Tailoring our beliefs until we agree with everything ignores the possibility of a higher Being that has a unique way of thinking. We cannot choose for ourselves what a God has declared moral or immoral.,"['0', '0', '0', '0', '0']", 3,4
83,1.7.6.3.3.1,con,"There is no good reason to think a God would care how humans behaved, assuming a God existed.","['0', '0', '0', '0', '0']", ,5
84,1.7.6.3.3.1.1,con,"If God existed and created us, he probably created us because he was trying to fulfill some sort of goal that the existence of humanity can help achieve. If there is anything at all we can do to help fulfill this goal of God's then God would care that we do it.","['0', '0', '0', '0', '0']", ,6
85,1.7.6.3.3.1.1.1,con,There is no good reason to think humans were specially created by any divinely guided or caused act or process.,"['0', '0', '0', '0', '0']", 8,7
86,1.7.6.3.3.2,con,"The only way it would matter what God considered moral and immoral is if he rewarded and punished based on behavior, in which case we should care purely out of self interest.","['0', '0', '0', '0', '0']", ,5
87,1.7.6.3.4,con,Moral disputes are better left in the hands of being solved by rationality and compassion than the presupposition of ancient books that cannot feasibly argue their morality in a modern world.,"['0', '0', '0', '0', '1']", 4,4
88,1.7.6.3.4.1,con,"Compassion is not an effective way of solving moral disputes because the sides will likely disagree over which view is most ""compassionate.""","['0', '0', '0', '0', '0']", ,5
89,1.7.6.3.5,con,"Moral disputes can be resolved by appealing to common values. If there are no relevant common values, the dispute is likely not even possibly settled.","['0', '0', '0', '0', '0']", ,4
90,1.7.6.3.6,con,"Given that there is no one universally accepted 'true' religion, this is already the case, and thus it is better to consider one's beliefs within the concept of rationality and reason rather than to wait until one emerges as the universally 'true' religion.","['1', '0', '2', '0', '1']", ,4
91,1.7.6.3.7,con,"Morality is not associated exclusively to religious beliefs. For example, the belief that we should not murder another person does not need moral backing for it to be associated with a positive moral decision.","['1', '0', '1', '0', '0']", ,4
92,1.7.6.3.8,con,This assumes that the purpose of religion is to facilitate human societal flourishing in the present life.,"['1', '0', '0', '1', '2']", ,4
93,1.7.6.5,con,"Morality, as well as religion, arises from social interactions. A society can have morals but no religion. The opposite may also be true.","['0', '0', '0', '0', '0']", 3,3
94,1.7.6.5.1,pro,"Humans have always lived in societies, and the rationale for morality is probably that it makes societies healthier.","['0', '0', '0', '0', '0']", 1,4
95,1.7.6.5.2,con,Societies that have morals but no religion borrow the concept of morality from religious societies.,"['0', '0', '0', '0', '0']", ,4
96,1.7.6.6,con,"Religions/belief systems are not needed for morals. ""Moral truths are truths of reason; that is, a moral judgment is true if it is backed by better reasons than the alternatives"" (citation from The Elements of Moral Philosophy (PDF))","['0', '0', '0', '0', '1']", 2,3
97,1.7.6.7,con,"Moral Relativism simply allows for more diverse, rather than weaker, rationales for morality, and is often the preferred view over Moral Objectivism.","['2', '0', '0', '0', '2']", ,3
98,1.7.7,con,Belief systems are necessary to motivate important social change.,"['0', '0', '0', '0', '0']", ,2
99,1.7.7.1,pro,The civil rights movement was based on a belief that people of all races deserve equal rights.,"['0', '0', '0', '0', '0']", ,3
100,1.7.7.2,pro,The abolitionist movement was based on the belief that human beings should not be treated as property.,"['0', '0', '0', '0', '0']", ,3
101,1.7.8,con,Kialo discurssion:     Religion has been a good thing for humankind.,"['0', '0', '0', '0', '1']", ,2
102,1.7.9,con,"Rationalism is held as the institutional solution to everything. Yet, those institutions act on empirical findings and social dogmas instead. No observer is at liberty to rule with findings that embrace the mind of their professors and superiors. Only supporting thought can pass as valued and valid. So much writing is then used to critique all human tendency.","['3', '0', '0', '0', '0']", 6,2
