,Level,Stance,Claim,Votes,Comments,Depth
0,1,None,God exists.,"['210', '113', '24', '20', '131']",,0
1,1.1,pro,"Revelation through faithful practices, religious experiences, and testimony support the existence of God.","['108', '14', '11', '14', '44']", 25,1
2,1.1.1,pro,Many people have religious experiences involving God.,"['20', '8', '10', '6', '13']", 1,2
3,1.1.1.1,pro,The fact others have personal experiences of God should be accepted as a good reason to believe God exists.,"['3', '1', '0', '0', '2']", 3,3
4,1.1.1.1.1,pro,Some converts to Christianity attribute their conversion to an experience of God that they had (while still a non-believer).,"['1', '0', '0', '0', '1']", 7,4
5,1.1.1.1.2,pro,"Rejecting this would be like assuming a missing soldier is dead, while ignoring individual reports that he is alive.","['2', '1', '0', '0', '2']", 2,4
6,1.1.1.1.2.1,con,"Rejecting this would be like accepting you don't know whether or not a missing soldier is dead, regardless of reports he is alive, because he has not yet been found in either state.","['1', '0', '0', '0', '2']", ,5
7,1.1.1.1.2.1.1,con,"There are important reasons for not being ambivalent about whether God is real or not, namely, that God is our Father, and that one's continued existence in a state of unending happiness or misery depend upon our motivation to find the true answer to this question. Honesty requires that we admit what we know and what we don't know, but discarding hope in the presence of uncertainty is unhelpful, hence the parent claim correctly reinforces the necessity of faith and hope.","['0', '0', '0', '0', '2']", ,6
8,1.1.1.1.3,con,Consistent application of this standard would require one to accept any and all such claims.  But we know contradictory experiences are commonly reported by adherents of different religions.,"['1', '0', '0', '0', '2']", 1,4
9,1.1.1.1.4,con,Accepting this would be like assuming fairies exist because people claim they've had a lost tooth replaced with money by the tooth fairy at night.,"['1', '0', '0', '0', '0']", ,4
10,1.1.1.1.5,con,People are capable being tricked into thinking something is something it is not.,"['0', '0', '0', '0', '0']", 1,4
11,1.1.1.1.6,con,People are capable of lying.,"['0', '0', '0', '0', '0']", 1,4
12,1.1.1.2,pro,"The Apostles were eye witnesses to miracles, which are evidence that God exists.","['2', '3', '0', '0', '1']", ,3
13,1.1.1.2.1,pro,There are many accounts of the Apostles witnessing miracles.,"['0', '1', '0', '0', '1']", ,4
14,1.1.1.2.2,con,"There is no contemporary or direct testimony on Jesus.  While there are records from Rome during the time he lived, there are zero contemporary references.  The gospels appear to have been written at least 70-300 years after the fact.Who would have noticed in Jesus' time?","['1', '0', '0', '2', '1']", ,4
15,1.1.1.2.3,con,Attempting to prove existence by means of “evidence” found within the pages of questionable texts is a circular argument that requires a leap of faith.,"['1', '1', '0', '0', '0']", 3,4
16,1.1.1.2.4,con,"If ""miracle"" is defined as ""an observed phenomenon which is not explained by current knowledge and seems to violate the laws of nature"", then miracles are not evidence that a God exists.","['0', '0', '0', '0', '0']", ,4
17,1.1.1.2.4.1,pro,"Shows made by magicians seem to violate the laws of nature, however, they are known to use ""tricks"" to give the appearance of violating the laws of nature, and nothing supernatural actually happens. Spectators only ""believe"" the shows by willing suspension of disbelief, for entertainment purposes.","['0', '0', '0', '0', '0']", 2,5
18,1.1.1.2.4.1.1,pro,"While spectators usually cannot explain what they have seen, they should not come to the conclusion that the magician has supernatural or divine powers.","['0', '0', '0', '0', '0']", ,6
19,1.1.1.2.5,con,"We cannot asses how reliable the Apostles themselves are. People tell lies, or just are wrong sometimes, and that might be the case for them too.","['1', '0', '0', '2', '0']", 1,4
