;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;Wealthy countries should provide citizens with a universal basic income (UBI).;['0', '30', '47', '111', '265'];;0
1;1.1;pro;A UBI is the most effective and efficient wealth redistribution system.;['0', '0', '0', '0', '0']; 7;1
2;1.1.1;pro;The reliability of a UBI, relative to other forms of welfare, allows the poor the ability to better plan and budget their spending.;['0', '0', '0', '0', '0']; 2;2
3;1.1.1.1;pro;The UBI can be spent in productive ways (e.g. investing into a business) that traditional welfare cannot. This creates social mobility.;['0', '0', '0', '0', '0']; ;3
4;1.1.2;pro;A UBI helps reduce governmental, bureaucratic, and regulatory burdens.;['0', '0', '0', '0', '0']; 8;2
5;1.1.2.1;pro;UBI reduce administrative control on citizen life, by making help unconditional, hence removing administrative power through arbitrary decisions;['0', '0', '0', '0', '0']; 4;3
6;1.1.2.2;pro;A process applied to many people equally is a lot simpler than many independent agencies and laws coming into play for fewer people.;['0', '0', '0', '11', '8']; ;3
7;1.1.2.2.1;pro;A UBI is cheaper to administer than existing welfare systems and thus frees would-be bureaucrats to contribute to the economy and thus wastes less money.;['0', '0', '0', '0', '0']; 4;4
8;1.1.2.2.2;pro;A UBI is simpler to administer and is therefore less prone to denying deserving people coverage because of bureaucratic inefficiencies (delays, miscategorisation of people, and other barriers to access).;['0', '0', '0', '0', '0']; 2;4
9;1.1.2.2.2.1;pro;Means-tested benefits often exclude many who are in need of support. Since a UBI is universal, those who need the money most would receive it.;['0', '0', '0', '0', '0']; ;5
10;1.1.2.2.2.2;pro;"Many people are unaware of the fact that they are eligible for government programs; for example the US has more than $300 million in unclaimed pension benefits. This lack of information often prevents them from accessing their entitlements.";['0', '0', '0', '0', '1']; 2;5
11;1.1.2.2.2.3;pro;With a one-size-fits all income transfer there is less need for governments to waste resources tracking down issues such as welfare fraud or when people cross into higher income thresholds.;['0', '0', '0', '0', '0']; ;5
12;1.1.2.2.2.3.1;con;A UBI is subject to fraud.;['0', '0', '0', '0', '0']; 10;6
13;1.1.2.2.2.3.1.1;pro;UBI replaces many social welfare programs with central administration. This process streamlines transfer payments, it also creates an slush fund for demagogues. A diffuse & complicated system is difficult to suborn. A centralized source of patronage payments creates an irresistible and attainable slush fund for machine-politicians.;['0', '0', '0', '0', '0']; 3;7
14;1.1.2.2.2.3.1.2;pro;Fraudulent use could include people creating false documentation in order to get paid more than once.;['0', '0', '0', '0', '0']; ;7
15;1.1.2.2.2.3.1.2.1;con;In order to avoid overspending on fraudulent persons, there is an incentive to monitor for fraud more carefully.;['1', '2', '0', '2', '2']; ;8
16;1.1.2.2.2.3.1.2.1.1;con;An incentive to monitor for fraud more carefully means a need for more bureaucracy, which is contrary to the claim that a UBI would reduce bureaucracy.;['0', '0', '0', '0', '0']; 8;9
17;1.1.2.2.2.3.1.2.2;con;"Similar kinds of fraud can exist in the current system; the parent does not explain why a UBI system would be more subject to fraud.";['0', '0', '0', '0', '0']; ;8
18;1.1.2.2.2.3.1.2.2.1;pro;The incentives for identity theft/fraud are already strong in developed economies. It is unclear that extracting traceable regular, relatively small UBI payments will be more attractive than e.g untraceable one-off, high value credit card fraud.;['0', '0', '0', '0', '0']; ;9
19;1.1.2.2.2.3.1.3;pro;In the US, federal agencies are often sloppy in their administration of programs, and Congress provides little serious oversight.;['8', '20', '8', '2', '3']; 7;7
20;1.1.2.2.2.3.1.3.1;con;A UBI is much easier to administer than other welfare programs — all it requires is that the government send a check. This has little margin for error or exploitation.;['0', '2', '4', '9', '4']; ;8
21;1.1.2.2.2.3.1.3.2;con;By the same argument, the military has documented waste in the billions, year after year. Yet it is tolerated in the name of the greater good.;['0', '0', '0', '1', '2']; ;8
22;1.1.2.2.2.3.1.3.2.1;con;This claim aides that the central government presiding over the military will have difficulties preventing UBI fraud if the same government wastes billions on other programs.;['0', '0', '0', '0', '1']; 1;9
23;1.1.2.2.2.3.1.3.2.2;con;"It is not well tolerated by some; there are plentiful criticisms of the American military, both inside and outside America.";['0', '0', '1', '1', '0']; ;9
24;1.1.2.2.2.3.1.3.3;con;Then the argument should be towards an improvement of program implementation, not the elimination of programs that benefit the people.;['0', '0', '0', '0', '0']; ;8
25;1.1.2.2.2.3.1.3.3.1;con;"This discussion is about a UBI; however, and in the US, a UBI doesn't yet exist. So no elimination of programs is being considered. At this point it's more of a matter of the US shouldn't implement this program within a broken system.";['0', '0', '0', '0', '0']; ;9
26;1.1.2.2.2.3.1.3.4;con;This is a systemic issue of congress and federal agencies, and shouldn't relate to UBI specifically. This is an issue which should be addressed regardless of subject matter.;['0', '0', '2', '3', '0']; ;8
27;1.1.2.2.2.3.1.3.4.1;con;If we accept that congress is sloppy, etc. then to say that we should implement this policy without first fixing said issue seems ill advised.;['0', '0', '0', '1', '0']; ;9
