;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;The European Union should become a United States of Europe.;['69', '17', '13', '33', '248'];;0
1;1.1;pro;The USE will govern more effectively and efficiently than the EU.;['35', '7', '13', '27', '95']; 9;1
2;1.1.1;pro;European heads of state are heavily conflicted between their electoral interest at home and what is good for Europe. The USE would eliminate this problem.;['0', '2', '0', '1', '11']; 2;2
3;1.1.1.1;pro;Italian leaders promised to pass a budget that was in conflict with EU rules.;['0', '0', '0', '0', '1']; ;3
4;1.1.1.2;pro;Currently, if EU member states disagree over policy, the EU becomes deadlocked. In a USE, political parties would simply coalesce around similar policy platforms and compete for votes, enabling the USE to move forward on all policy fronts.;['0', '0', '0', '1', '3']; 4;3
5;1.1.1.2.1;pro;Politicians from the Northern League in Italy, the National Front in France, and the Law and Justice Party in Poland have already been forming alliances on a European level.;['0', '0', '0', '0', '0']; ;4
6;1.1.1.2.2;pro;There are multiple political parties in the European Parliament. These could provide the foundation for political coalitions in the new USE.;['0', '0', '0', '0', '0']; ;4
7;1.1.1.2.2.1;pro;Most of these European parties align with national political parties of member states, allowing for an easy transition from an EU to a USE.;['0', '0', '0', '0', '0']; ;5
8;1.1.1.2.2.2;con;The largest political parties in the European Parliament hold small percentages of the seats.;['0', '0', '0', '0', '0']; ;5
9;1.1.1.2.3;con;Multiple member states have found it difficult to form governments. The likelihood of this happening in a USE is only going to increase as all the political divisions within member states will be transposed onto a USE level.;['0', '0', '0', '0', '0']; ;4
10;1.1.1.2.3.1;pro;It took months for the Italian populist parties to form a coalition government.;['0', '0', '0', '0', '0']; ;5
11;1.1.1.2.3.2;pro;Belgium currently holds the record for the longest time a developed country has gone without an elected government: 589 days.;['0', '0', '0', '0', '0']; ;5
12;1.1.1.2.3.3;pro;After 2017 elections, it took more than four months for Germany to form a ruling coalition.;['0', '0', '0', '0', '0']; ;5
13;1.1.1.3;pro;Unlike the British electorate, British MPs voted overwhelmingly for remain in the Brexit referendum.;['0', '0', '0', '0', '1']; ;3
14;1.1.1.4;con;This conflict may lead to countries leaving the European Union before it becomes the USE.;['0', '0', '0', '0', '0']; ;3
15;1.1.1.5;con;There would still be the issue of national governance systems with their own interests, as is seen in other federal states like the USA.;['0', '0', '1', '1', '1']; ;3
16;1.1.1.5.1;pro;The issue of 'states' rights' is still a hot button issue in the US.;['0', '0', '0', '0', '0']; ;4
17;1.1.2;pro;Streamlining national standards and systems of education means people would not be held back by needless bureaucracy.;['0', '0', '0', '0', '0']; 13;2
18;1.1.2.1;pro;It would be easier for students to study in other European universities.;['1', '2', '0', '2', '6']; 3;3
19;1.1.2.1.1;con;The existing Erasmus program allows students to study in other EU countries.;['0', '0', '1', '0', '1']; 8;4
20;1.1.2.1.2;con;As an EU citizen, one is entitled to study in any European country under the same conditions as nationals.;['0', '0', '0', '0', '0']; ;4
21;1.1.2.2;pro;Educational uniformity among member states would make it easier to find work abroad. USE degrees and diplomas would be more recognized internationally.;['1', '1', '0', '2', '9']; ;3
22;1.1.2.2.1;pro;Recognition of academic certificates is far from universal within the EU, as explained here. This would very likely be changed with a USE.;['0', '0', '0', '0', '1']; 1;4
23;1.1.2.2.1.1;pro;This causes difficulties for university graduates to find work in other EU member states.;['0', '0', '0', '0', '1']; 7;5
24;1.1.2.3;con;A federally standardized education system will increase bureaucracy and potentially cripple it.;['3', '2', '0', '1', '4']; 1;3
25;1.1.2.3.1;pro;An example can be seen in the USA where the quality of federally standardized K-12 education is ranked 38th in the world. pewresearch.org Thus, European countries should be allowed to direct their own education policies with minimal intervention.;['0', '0', '0', '0', '0']; 9;4
26;1.1.2.4;con;National education standards in a USE can only be streamlined if there is a substantial investment into poorer areas, to bring their education systems to a similar level.;['1', '1', '4', '3', '4']; 2;3
27;1.1.2.4.1;pro;The variations in investment into education across different EU member states already indicates the vast differences in standards.;['0', '0', '0', '0', '1']; ;4
28;1.1.2.4.2;con;This is a benefit to poorer countries in the USE who could get funds to help their education systems in a way that they do not under status quo.;['0', '0', '0', '0', '0']; ;4
29;1.1.2.5;con;There is a wealth of history which nations of the EU/USE do not share. If education is streamlined at a supranational level, this may be lost.;['0', '0', '0', '0', '0']; 2;3
30;1.1.2.5.1;pro;USE's education authorities may curate a version of European history that serves the purpose of promoting a common European identity and remove parts of the history that harm that cause.;['0', '0', '0', '0', '0']; ;4
31;1.1.2.5.1.1;con;If history books are being written by people with a vested interest in one side of a dispute or another, then bias may play a role in what children are learning (p. 11).;['0', '0', '0', '0', '0']; ;5
32;1.1.2.5.1.1.1;con;The USE would be less biased than national governments, and could provide a solution to educating children about regional conflicts.;['0', '0', '0', '0', '0']; ;6
33;1.1.2.5.1.2;con;"Removing parts of history because they may ""harm [the] cause"" of a European shared identity is little more than censorship.";['0', '0', '0', '0', '0']; 2;5
34;1.1.2.5.1.2.1;pro;"People should be taught the full context for historical events, with the understanding that things have changed, rather than outright removal of ""problematic"" parts of history.";['0', '0', '0', '0', '0']; ;6
35;1.1.2.5.2;con;Some curriculum writing could be delegated to nation-states to guard against the loss of historical education.;['0', '0', '0', '0', '0']; ;4
36;1.1.2.6;con;Language differences will hinder standardising educational standards.;['5', '4', '1', '1', '6']; ;3
37;1.1.2.6.1;pro;Without a common language, there cannot be a common curriculum among all of the USE member states.;['0', '0', '0', '0', '0']; 2;4
38;1.1.2.6.1.1;con;The ESU could decide on one common language to be spoken and taught throughout the ESU.;['0', '0', '0', '0', '0']; ;5
39;1.1.2.6.1.1.1;con;Many nations would resist having to give up their native language to be a part of the ESU.;['0', '0', '0', '0', '0']; ;6
40;1.1.2.6.1.2;con;The EU already employs translators for different languages to translate legislation and documents. The USE could employ translators to work on a common curriculum.;['0', '0', '0', '0', '0']; ;5
41;1.1.2.6.2;con;Everyone can learn a second or third language so that people can communicate with others in the USE without use of a translator. For example, everyone could learn English as a second language.;['0', '1', '0', '0', '2']; ;4
42;1.1.2.6.3;con;Language experts can be brought in to help smooth over any language difficulties, and to ensure that the curriculum in one region matches that of another, in spite of language differences.;['0', '0', '0', '0', '0']; ;4
43;1.1.3;pro;The USE will streamline European institutions and agencies.;['1', '0', '2', '1', '8']; 1;2
44;1.1.3.1;pro;At the moment, it takes months, or even years, of legal wrangling before a top EU court can potentially impose financial penalties for violating EU rules. A USE would be able to enforce its laws more effectively.;['0', '0', '0', '1', '2']; ;3
45;1.1.3.2;pro;Europol would become the main EU police body, improving its efficiency.;['0', '0', '0', '1', '2']; ;3
46;1.1.3.2.1;pro;There are concerns about the quality of staff working for Europol. If Europol becomes the main investigative agency within a USE, it will attract the best talent.;['0', '0', '0', '0', '1']; ;4
47;1.1.3.2.2;pro;The USE will have a better impact when fighting mafia groups because a unified justice will be much stronger and cleaner.;['0', '0', '0', '0', '2']; 2;4
48;1.1.3.2.2.1;pro;Other than Italy, most national police forces in the EU today are ill prepared to handle anti-mafia activities.;['0', '0', '0', '0', '0']; ;5
49;1.1.3.2.3;pro;Currently, Europol is losing its fight against money laundering and other such crimes. A more unified task force would consolidate efforts to amend this.;['0', '0', '0', '0', '1']; ;4
50;1.1.3.3;pro;At present, a lot of public spending is duplicated: from spending in research (where different national states may replicate the same experiments) to spending in diplomatic representation (each national state has its own embassy in a non-member state). USE could make a better use of available money.;['0', '0', '0', '0', '3']; 2;3
51;1.1.3.3.1;pro;The European External Action Service essentially performs the same duties as each country's foreign ministry today. This redundancy could be eliminated with the USE.;['0', '0', '0', '0', '1']; ;4
52;1.1.3.3.2;con;The diversity and competition in Europe, whether it relates to multiple embassies, defence research programs, research etc, is good.;['0', '0', '0', '0', '0']; ;4
53;1.1.3.4;pro;Military expenditure can be cut by central planning.;['0', '0', '0', '1', '2']; 1;3
54;1.1.3.4.1;pro;One unified European army would likely cost less than all the individual EU member states now spend on their military, because unification would allow funds to be spent more effectively and efficiently.;['0', '0', '0', '1', '1']; ;4
55;1.1.4;pro;Reducing the amount of sovereign governments under a standard USE system would be overall flatter, more efficient and cost effective.;['0', '1', '0', '1', '2']; 3;2
56;1.1.4.1;pro;Some EU countries already have overcomplicated governments. Belgian people refer to their system as the “institutional lasagna”.(Lasagne institutionnelle);['0', '0', '0', '0', '0']; ;3
