;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;All humans should be vegan.;['109', '49', '22', '33', '141'];;0
1;1.1;pro;Veganism is a more ethical lifestyle.;['42', '13', '9', '19', '78']; 92;1
2;1.1.1;pro;If all humans were vegan, animals would not be killed or made to suffer needlessly, which is the moral thing to do.;['1', '0', '0', '0', '6']; 51;2
3;1.1.1.1;pro;The animals being slaughtered are often treated cruelly.;['0', '3', '0', '1', '2']; 1;3
4;1.1.1.1.1;pro;A cow's typical life-span is 25 years. Cows used in dairy production are exhausted and for most part killed after 4-5 years.;['0', '0', '0', '0', '0']; 1;4
5;1.1.1.1.2;pro;Animals at farms are treated with the lowest priority when it comes to keeping lives safe during natural disasters. With Hurricane Florence, millions of animals died in factory farms.;['0', '0', '1', '0', '0']; ;4
6;1.1.1.1.3;pro;When the demand for animal products goes down (like with the coronavirus), farmers just kill all the animals. Unnecessary killing of animals and the wastefulness that comes with it wouldn't take place in a vegan world.;['0', '1', '1', '0', '0']; ;4
7;1.1.1.1.4;con;Farmed livestock are protected from threats such as exposure, starvation, disease and predators. Protections that they would not have in the wild.;['0', '1', '0', '1', '0']; ;4
8;1.1.1.1.4.1;con;Protection means nothing when we are their predators and their lives are compromised on restricted grounds.;['0', '0', '0', '1', '0']; 4;5
9;1.1.1.1.5;con;If cruelty and suffering are concerns, then acquiring meat from a hunter (or similar instant killing method) should be acceptable. In other words, you do not have to go vegan to avoid animal suffering - you just must be certain that your source of meat is cruelty-free.;['0', '0', '1', '1', '0']; ;4
10;1.1.1.1.5.1;con;Killing an animal is not cruelty-free. The cruelty of killing extends to their family if they are part of raising it, as well as dying by having a short life and another being deciding their fate in life for them. Veganism does not create these abuses.;['0', '0', '0', '0', '0']; ;5
11;1.1.1.1.6;con;"It is not in the meat industry's interest to treat animals cruelly; mistreating cattle results in poorer quality meat.";['0', '0', '0', '1', '0']; 14;4
12;1.1.1.1.6.1;pro;Slaughter areas are designed to keep the cattle calm so they don't pump adrenaline through their veins souring the meat.;['0', '0', '0', '0', '0']; 1;5
13;1.1.1.1.6.2;con;The reduction in quality of the product is offset by an increase in quantity produced, resulting in a net increase in revenue. As revenues drive production, meat producers are often incentivized to use cruel methods, even if it somewhat reduces the quality of the product.;['0', '0', '0', '0', '0']; 3;5
14;1.1.1.1.6.3;con;Not all forms of cruelty result in inferior quality meat.;['1', '0', '0', '0', '0']; 3;5
15;1.1.1.1.7;con;It is possible to consume meat in an ethical way.;['0', '0', '1', '0', '0']; 54;4
16;1.1.1.1.7.1;pro;Scientific advancements such as lab-grown meat make it possible for people to eat meat without harming living animals.;['0', '0', '0', '0', '0']; 7;5
17;1.1.1.1.7.1.1;pro;Cultured meat is just as environmentally sustainable as a vertical farm (like 808 factory in Recipes From the Future) for factory farming practices, even though it involves animals.;['0', '0', '0', '0', '0']; 12;6
18;1.1.1.1.7.1.2;pro;Lab-grown meat has a massively reduced environmental impact due to not needing to expend energy and water to grow an entire living animal.;['0', '0', '0', '0', '0']; 2;6
